n0071
Sat Sep 19 04:17:53 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 502 seed= 1 env= AntCost k_epochs 5
env=AntCost
state_dim=113
action_dim=8
max_action=1.0
max_episode_steps=500
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:505.8127997901004 	 evaluate_cost:0.0 	 evaluate_max_cost:0.0
New best model found! Saving model with reward: 505.8127997901004 and max cost: 0.0
FAC | warm_start_active=False, vs_mean=-66.8697, vl_pi= 0.5583011 beta_penalty= 13749.033 lambda_mean= [0.6952502] VC_mean= [0.5362201] d= [0.1]
FAC | warm_start_active=False, vs_mean=-66.3421, vl_pi= 0.55630374 beta_penalty= 13689.112 lambda_mean= [0.6952502] VC_mean= [0.5358305] d= [0.1]
evaluate_num:2 	 evaluate_reward:484.8699095817116 	 evaluate_cost:0.21549397706985474 	 evaluate_max_cost:0.16693979501724243
FAC | warm_start_active=False, vs_mean=-69.6216, vl_pi= 0.56906676 beta_penalty= 14072.003 lambda_mean= [0.6955954] VC_mean= [0.5358504] d= [0.1]
FAC | warm_start_active=False, vs_mean=-68.6357, vl_pi= 0.5625421 beta_penalty= 13876.263 lambda_mean= [0.6955954] VC_mean= [0.53302366] d= [0.1]
FAC | warm_start_active=False, vs_mean=-69.2710, vl_pi= 0.55623144 beta_penalty= 13686.943 lambda_mean= [0.6955954] VC_mean= [0.53082496] d= [0.1]
FAC | warm_start_active=False, vs_mean=-68.2610, vl_pi= 0.5518386 beta_penalty= 13555.157 lambda_mean= [0.6955954] VC_mean= [0.53148544] d= [0.1]
FAC | warm_start_active=False, vs_mean=-68.5355, vl_pi= 0.5509249 beta_penalty= 13527.747 lambda_mean= [0.6955954] VC_mean= [0.53292906] d= [0.1]
FAC | warm_start_active=False, vs_mean=-64.2181, vl_pi= 0.5530835 beta_penalty= 13592.505 lambda_mean= [0.6954758] VC_mean= [0.5339567] d= [0.1]
FAC | warm_start_active=False, vs_mean=-63.8306, vl_pi= 0.55176264 beta_penalty= 13552.879 lambda_mean= [0.6954758] VC_mean= [0.5341963] d= [0.1]
FAC | warm_start_active=False, vs_mean=-64.3826, vl_pi= 0.55002844 beta_penalty= 13500.854 lambda_mean= [0.6954758] VC_mean= [0.5321489] d= [0.1]
FAC | warm_start_active=False, vs_mean=-64.6694, vl_pi= 0.54955024 beta_penalty= 13486.507 lambda_mean= [0.6954758] VC_mean= [0.53211945] d= [0.1]
FAC | warm_start_active=False, vs_mean=-64.1979, vl_pi= 0.5489204 beta_penalty= 13467.612 lambda_mean= [0.6954758] VC_mean= [0.5318943] d= [0.1]
FAC | warm_start_active=False, vs_mean=-64.1696, vl_pi= 0.55369127 beta_penalty= 13610.738 lambda_mean= [0.6952702] VC_mean= [0.5320893] d= [0.1]
FAC | warm_start_active=False, vs_mean=-64.9438, vl_pi= 0.55056363 beta_penalty= 13516.909 lambda_mean= [0.6952702] VC_mean= [0.53069687] d= [0.1]
FAC | warm_start_active=False, vs_mean=-64.6391, vl_pi= 0.5504119 beta_penalty= 13512.356 lambda_mean= [0.6952702] VC_mean= [0.5310965] d= [0.1]
FAC | warm_start_active=False, vs_mean=-65.4006, vl_pi= 0.5506456 beta_penalty= 13519.368 lambda_mean= [0.6952702] VC_mean= [0.53174233] d= [0.1]
FAC | warm_start_active=False, vs_mean=-65.7343, vl_pi= 0.5485685 beta_penalty= 13457.055 lambda_mean= [0.6952702] VC_mean= [0.5309823] d= [0.1]
FAC | warm_start_active=False, vs_mean=-63.2502, vl_pi= 0.5618502 beta_penalty= 13855.506 lambda_mean= [0.6954649] VC_mean= [0.5301502] d= [0.1]
FAC | warm_start_active=False, vs_mean=-64.1813, vl_pi= 0.55984235 beta_penalty= 13795.2705 lambda_mean= [0.6954649] VC_mean= [0.53106767] d= [0.1]
FAC | warm_start_active=False, vs_mean=-63.7218, vl_pi= 0.5567997 beta_penalty= 13703.991 lambda_mean= [0.6954649] VC_mean= [0.52977] d= [0.1]
FAC | warm_start_active=False, vs_mean=-64.5753, vl_pi= 0.5566081 beta_penalty= 13698.242 lambda_mean= [0.6954649] VC_mean= [0.53147066] d= [0.1]
FAC | warm_start_active=False, vs_mean=-64.5759, vl_pi= 0.55418545 beta_penalty= 13625.563 lambda_mean= [0.6954649] VC_mean= [0.53148735] d= [0.1]
FAC | warm_start_active=False, vs_mean=-66.3039, vl_pi= 0.56454766 beta_penalty= 13936.43 lambda_mean= [0.69541603] VC_mean= [0.5312121] d= [0.1]
FAC | warm_start_active=False, vs_mean=-64.1594, vl_pi= 0.5609299 beta_penalty= 13827.897 lambda_mean= [0.69541603] VC_mean= [0.53070414] d= [0.1]
FAC | warm_start_active=False, vs_mean=-62.8618, vl_pi= 0.5590024 beta_penalty= 13770.072 lambda_mean= [0.69541603] VC_mean= [0.5308639] d= [0.1]
FAC | warm_start_active=False, vs_mean=-61.2923, vl_pi= 0.5529323 beta_penalty= 13587.97 lambda_mean= [0.69541603] VC_mean= [0.52937603] d= [0.1]
FAC | warm_start_active=False, vs_mean=-60.9371, vl_pi= 0.55645573 beta_penalty= 13693.672 lambda_mean= [0.69541603] VC_mean= [0.5306741] d= [0.1]
FAC | warm_start_active=False, vs_mean=-62.1332, vl_pi= 0.56939274 beta_penalty= 14081.782 lambda_mean= [0.69519395] VC_mean= [0.5300828] d= [0.1]
FAC | warm_start_active=False, vs_mean=-60.6987, vl_pi= 0.56224626 beta_penalty= 13867.388 lambda_mean= [0.69519395] VC_mean= [0.5306867] d= [0.1]
FAC | warm_start_active=False, vs_mean=-60.0843, vl_pi= 0.5566093 beta_penalty= 13698.278 lambda_mean= [0.69519395] VC_mean= [0.5310963] d= [0.1]
