n0006
Thu Sep  3 07:12:13 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 4 seed= 1 env= HumanoidCMDP k_epochs 5
env=HumanoidCMDP
state_dim=377
action_dim=17
max_action=0.4000000059604645
max_episode_steps=1000
No env selected
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:4985.119339913683 	 evaluate_cost:6.871486402815208e-05 	 evaluate_max_cost:2.6178870029980317e-05
New best model found! Saving model with reward: 4985.119339913683 and max cost: 2.6178870029980317e-05
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 256.5364074707031 1.0 255.53640747070312
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 253.32308959960938 1.0 252.32308959960938
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 250.43023681640625 1.0 249.43023681640625
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 248.92257690429688 1.0 247.92257690429688
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 247.43519592285156 1.0 246.43519592285156
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 238.78948974609375 1.0 237.78948974609375
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 237.78472900390625 1.0 236.78472900390625
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 237.5917510986328 1.0 236.5917510986328
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 238.01100158691406 1.0 237.01100158691406
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 238.0933074951172 1.0 237.0933074951172
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 253.1298828125 1.0 252.1298828125
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 248.50132751464844 1.0 247.50132751464844
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 244.7305908203125 1.0 243.7305908203125
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 242.47955322265625 1.0 241.47955322265625
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 243.89561462402344 1.0 242.89561462402344
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 240.87205505371094 1.0 239.87205505371094
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 240.00909423828125 1.0 239.00909423828125
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 237.56866455078125 1.0 236.56866455078125
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 237.22874450683594 1.0 236.22874450683594
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 236.73544311523438 1.0 235.73544311523438
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 234.96385192871094 1.0 233.96385192871094
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 237.6539764404297 1.0 236.6539764404297
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 241.15591430664062 1.0 240.15591430664062
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 244.77842712402344 1.0 243.77842712402344
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 247.23165893554688 1.0 246.23165893554688
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 253.41488647460938 1.0 252.41488647460938
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 251.18409729003906 1.0 250.18409729003906
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 243.75006103515625 1.0 242.75006103515625
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 241.2110137939453 1.0 240.2110137939453
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 240.49317932128906 1.0 239.49317932128906
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 239.82891845703125 1.0 238.82891845703125
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 243.01663208007812 1.0 242.01663208007812
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 247.7297821044922 1.0 246.7297821044922
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 251.15216064453125 1.0 250.15216064453125
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 250.43637084960938 1.0 249.43637084960938
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 256.35308837890625 1.0 255.35308837890625
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 255.1154022216797 1.0 254.1154022216797
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 251.2984619140625 1.0 250.2984619140625
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 247.61740112304688 1.0 246.61740112304688
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 246.5974578857422 1.0 245.5974578857422
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 253.4384002685547 1.0 252.4384002685547
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 251.30453491210938 1.0 250.30453491210938
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 248.2125701904297 1.0 247.2125701904297
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 249.2821807861328 1.0 248.2821807861328
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 249.4463653564453 1.0 248.4463653564453
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 249.8806915283203 1.0 248.8806915283203
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 249.37142944335938 1.0 248.37142944335938
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 249.10516357421875 1.0 248.10516357421875
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 248.56692504882812 1.0 247.56692504882812
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 248.61080932617188 1.0 247.61080932617188
evaluate_num:2 	 evaluate_reward:4825.117993357904 	 evaluate_cost:2.5453946590423584 	 evaluate_max_cost:1.7364739179611206
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 248.22500610351562 1.0 247.22500610351562
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 247.36366271972656 1.0 246.36366271972656
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 246.14703369140625 1.0 245.14703369140625
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 245.07272338867188 1.0 244.07272338867188
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 244.3799285888672 1.0 243.3799285888672
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 249.5939178466797 1.0 248.5939178466797
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 244.61485290527344 1.0 243.61485290527344
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 241.16995239257812 1.0 240.16995239257812
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 240.79751586914062 1.0 239.79751586914062
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 239.82276916503906 1.0 238.82276916503906
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 239.05532836914062 1.0 238.05532836914062
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 239.0171356201172 1.0 238.0171356201172
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 240.09555053710938 1.0 239.09555053710938
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 240.9879913330078 1.0 239.9879913330078
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 242.4339599609375 1.0 241.4339599609375
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 242.87017822265625 1.0 241.87017822265625
