n0050
Sun Sep 20 10:28:19 AM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 101 seed= 5 env= SafetyCarCircle2-v0 k_epochs 5
SafetyCircleMargin: Using safety_clearance=0.3000
SafetyCircleMargin: Using safety_clearance=0.3000
SafetyCircleMargin: Using safety_clearance=0.3000
env_id=SafetyCarCircle2-v0
state_dim=40
action_dim=2
max_action=1.0
max_episode_steps=500
Using device: cpu
SafetyCircleMargin: Using safety_clearance=0.3000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:0.11544023192949308 	 evaluate_cost:21.634301653730716 	 evaluate_max_cost:0.9980825409818422
ch, vs_mean, vl_pi, beta penalty= 0 0.5767211318016052 0.9500607252120972 22501.822265625
ch, vs_mean, vl_pi, beta penalty= 0 0.579016387462616 0.9587605595588684 22762.81640625
ch, vs_mean, vl_pi, beta penalty= 0 0.5845144987106323 0.9555293917655945 22665.8828125
ch, vs_mean, vl_pi, beta penalty= 0 0.566558837890625 0.9523933529853821 22571.80078125
ch, vs_mean, vl_pi, beta penalty= 0 0.5649993419647217 0.9523349404335022 22570.048828125
ch, vs_mean, vl_pi, beta penalty= 0 0.5152678489685059 0.8633802533149719 19901.408203125
ch, vs_mean, vl_pi, beta penalty= 0 0.5072742700576782 0.8512313365936279 19536.94140625
ch, vs_mean, vl_pi, beta penalty= 0 0.4782576858997345 0.847209095954895 19416.2734375
ch, vs_mean, vl_pi, beta penalty= 0 0.4580456614494324 0.8464736342430115 19394.208984375
ch, vs_mean, vl_pi, beta penalty= 0 0.4263685345649719 0.8486600518226624 19459.802734375
evaluate_num:3 	 evaluate_reward:2.2412237886037762 	 evaluate_cost:13.633706505801362 	 evaluate_max_cost:0.9988045825010019
ch, vs_mean, vl_pi, beta penalty= 0 0.4709031879901886 0.946552574634552 22396.578125
ch, vs_mean, vl_pi, beta penalty= 0 0.476681113243103 0.944004237651825 22320.126953125
ch, vs_mean, vl_pi, beta penalty= 0 0.49963459372520447 0.9560664296150208 22681.994140625
ch, vs_mean, vl_pi, beta penalty= 0 0.5129338502883911 0.950326681137085 22509.80078125
ch, vs_mean, vl_pi, beta penalty= 0 0.5202827453613281 0.9542344212532043 22627.033203125
ch, vs_mean, vl_pi, beta penalty= 0 0.45821458101272583 0.9575973153114319 22727.919921875
ch, vs_mean, vl_pi, beta penalty= 0 0.4239582121372223 0.9591655135154724 22774.96484375
ch, vs_mean, vl_pi, beta penalty= 0 0.39149388670921326 0.9557800889015198 22673.40234375
ch, vs_mean, vl_pi, beta penalty= 0 0.3744473159313202 0.9577383995056152 22732.15234375
ch, vs_mean, vl_pi, beta penalty= 0 0.35880035161972046 0.9547601938247681 22642.806640625
ch, vs_mean, vl_pi, beta penalty= 0 0.38738736510276794 0.9843983054161072 23531.94921875
ch, vs_mean, vl_pi, beta penalty= 0 0.40074676275253296 0.9692524671554565 23077.57421875
ch, vs_mean, vl_pi, beta penalty= 0 0.41411933302879333 0.9610376358032227 22831.12890625
ch, vs_mean, vl_pi, beta penalty= 0 0.4509902000427246 0.9631611108779907 22894.833984375
ch, vs_mean, vl_pi, beta penalty= 0 0.44615238904953003 0.954517126083374 22635.513671875
ch, vs_mean, vl_pi, beta penalty= 0 0.4528999924659729 0.829969584941864 18899.087890625
ch, vs_mean, vl_pi, beta penalty= 0 0.4791947305202484 0.8303957581520081 18911.873046875
ch, vs_mean, vl_pi, beta penalty= 0 0.5056876540184021 0.8372920751571655 19118.76171875
ch, vs_mean, vl_pi, beta penalty= 0 0.5203256011009216 0.8586207032203674 19758.62109375
ch, vs_mean, vl_pi, beta penalty= 0 0.5220307111740112 0.8936253190040588 20808.759765625
ch, vs_mean, vl_pi, beta penalty= 0 0.6052207946777344 0.9262627363204956 21787.8828125
ch, vs_mean, vl_pi, beta penalty= 0 0.6488559246063232 0.9287629723548889 21862.888671875
ch, vs_mean, vl_pi, beta penalty= 0 0.7066472768783569 0.9399325847625732 22197.978515625
ch, vs_mean, vl_pi, beta penalty= 0 0.7382805347442627 0.9362927675247192 22088.783203125
ch, vs_mean, vl_pi, beta penalty= 0 0.7785133123397827 0.9454835653305054 22364.5078125
ch, vs_mean, vl_pi, beta penalty= 0 0.733475923538208 0.9520766139030457 22562.298828125
ch, vs_mean, vl_pi, beta penalty= 0 0.704592227935791 0.9415107369422913 22245.322265625
ch, vs_mean, vl_pi, beta penalty= 0 0.6590298414230347 0.9267893433570862 21803.6796875
ch, vs_mean, vl_pi, beta penalty= 0 0.61629718542099 0.9168890118598938 21506.669921875
ch, vs_mean, vl_pi, beta penalty= 0 0.5960550308227539 0.9251437187194824 21754.3125
ch, vs_mean, vl_pi, beta penalty= 0 0.553000271320343 0.9613715410232544 22841.146484375
ch, vs_mean, vl_pi, beta penalty= 0 0.4875485897064209 0.9847955107688904 23543.865234375
ch, vs_mean, vl_pi, beta penalty= 0 0.43925851583480835 0.985041618347168 23551.248046875
ch, vs_mean, vl_pi, beta penalty= 0 0.40193790197372437 1.0079054832458496 24237.1640625
ch, vs_mean, vl_pi, beta penalty= 0 0.37945255637168884 1.0077701807022095 24233.10546875
ch, vs_mean, vl_pi, beta penalty= 0 0.4000398516654968 0.9730121493339539 23190.365234375
ch, vs_mean, vl_pi, beta penalty= 0 0.4592489004135132 0.9767381548881531 23302.14453125
ch, vs_mean, vl_pi, beta penalty= 0 0.5198113918304443 0.9992578625679016 23977.736328125
ch, vs_mean, vl_pi, beta penalty= 0 0.5277448296546936 0.9921888113021851 23765.6640625
ch, vs_mean, vl_pi, beta penalty= 0 0.5611669421195984 0.9827957153320312 23483.87109375
ch, vs_mean, vl_pi, beta penalty= 0 0.5193310379981995 0.9079446792602539 21238.33984375
ch, vs_mean, vl_pi, beta penalty= 0 0.4712182879447937 0.8974096179008484 20922.2890625
ch, vs_mean, vl_pi, beta penalty= 0 0.412667840719223 0.8945685029029846 20837.0546875
ch, vs_mean, vl_pi, beta penalty= 0 0.3791867792606354 0.8909741640090942 20729.224609375
ch, vs_mean, vl_pi, beta penalty= 0 0.3475649654865265 0.880437433719635 20413.123046875
ch, vs_mean, vl_pi, beta penalty= 0 0.3563103675842285 0.918475866317749 21554.275390625
ch, vs_mean, vl_pi, beta penalty= 0 0.35842612385749817 0.9106244444847107 21318.734375
ch, vs_mean, vl_pi, beta penalty= 0 0.3642457127571106 0.9208923578262329 21626.771484375
ch, vs_mean, vl_pi, beta penalty= 0 0.3701002895832062 0.9522566795349121 22567.701171875
ch, vs_mean, vl_pi, beta penalty= 0 0.36863356828689575 0.975077748298645 23252.33203125
ch, vs_mean, vl_pi, beta penalty= 0 0.4207416772842407 0.9624916315078735 22874.75
ch, vs_mean, vl_pi, beta penalty= 0 0.4957200884819031 0.9586936831474304 22760.810546875
ch, vs_mean, vl_pi, beta penalty= 0 0.5511661767959595 0.9738616347312927 23215.849609375
ch, vs_mean, vl_pi, beta penalty= 0 0.5934790372848511 0.9945305585861206 23835.91796875
ch, vs_mean, vl_pi, beta penalty= 0 0.6329192519187927 1.0108892917633057 24326.6796875
ch, vs_mean, vl_pi, beta penalty= 0 0.5969113707542419 0.999441921710968 23983.2578125
ch, vs_mean, vl_pi, beta penalty= 0 0.5718105435371399 1.001157522201538 24034.7265625
ch, vs_mean, vl_pi, beta penalty= 0 0.541100800037384 1.013723611831665 24411.708984375
ch, vs_mean, vl_pi, beta penalty= 0 0.5223091840744019 1.0098445415496826 24295.3359375
ch, vs_mean, vl_pi, beta penalty= 0 0.5143755674362183 1.008714199066162 24261.42578125
evaluate_num:4 	 evaluate_reward:1.8071441043454177 	 evaluate_cost:10.05571858754064 	 evaluate_max_cost:0.9993937254491779
ch, vs_mean, vl_pi, beta penalty= 0 0.4854239821434021 0.9581253528594971 22743.76171875
ch, vs_mean, vl_pi, beta penalty= 0 0.4774232506752014 0.9707173109054565 23121.51953125
ch, vs_mean, vl_pi, beta penalty= 0 0.4677138328552246 0.9901823401451111 23705.470703125
ch, vs_mean, vl_pi, beta penalty= 0 0.44864600896835327 1.0130648612976074 24391.9453125
ch, vs_mean, vl_pi, beta penalty= 0 0.47455698251724243 1.0278469324111938 24835.408203125
ch, vs_mean, vl_pi, beta penalty= 0 0.5775586366653442 0.9719018936157227 23157.056640625
ch, vs_mean, vl_pi, beta penalty= 0 0.5704367756843567 0.9749770760536194 23249.3125
ch, vs_mean, vl_pi, beta penalty= 0 0.6232808232307434 0.9797866344451904 23393.599609375
ch, vs_mean, vl_pi, beta penalty= 0 0.619247555732727 0.9762080907821655 23286.2421875
ch, vs_mean, vl_pi, beta penalty= 0 0.5931693315505981 0.9803318381309509 23409.955078125
ch, vs_mean, vl_pi, beta penalty= 0 0.5970714092254639 0.9976792931556702 23930.37890625
ch, vs_mean, vl_pi, beta penalty= 0 0.6242040395736694 1.009952425956726 24298.572265625
ch, vs_mean, vl_pi, beta penalty= 0 0.6434478163719177 1.0088714361190796 24266.142578125
ch, vs_mean, vl_pi, beta penalty= 0 0.6834368705749512 1.002881407737732 24086.443359375
ch, vs_mean, vl_pi, beta penalty= 0 0.7046291828155518 0.9976093769073486 23928.28125
ch, vs_mean, vl_pi, beta penalty= 0 0.6185181736946106 1.0563807487487793 25691.421875
ch, vs_mean, vl_pi, beta penalty= 0 0.5991310477256775 1.0559107065200806 25677.322265625
ch, vs_mean, vl_pi, beta penalty= 0 0.595495879650116 1.0558323860168457 25674.97265625
ch, vs_mean, vl_pi, beta penalty= 0 0.586397647857666 1.047463297843933 25423.8984375
ch, vs_mean, vl_pi, beta penalty= 0 0.5662766695022583 1.035736083984375 25072.08203125
ch, vs_mean, vl_pi, beta penalty= 0 0.5963997840881348 0.9485726356506348 22457.1796875
ch, vs_mean, vl_pi, beta penalty= 0 0.5883401036262512 0.9503212571144104 22509.638671875
ch, vs_mean, vl_pi, beta penalty= 0 0.5565067529678345 0.9378119111061096 22134.357421875
ch, vs_mean, vl_pi, beta penalty= 0 0.5418931245803833 0.9257616996765137 21772.8515625
ch, vs_mean, vl_pi, beta penalty= 0 0.5363170504570007 0.9228838682174683 21686.515625
ch, vs_mean, vl_pi, beta penalty= 0 0.589093804359436 0.9534138441085815 22602.416015625
ch, vs_mean, vl_pi, beta penalty= 0 0.5847244262695312 0.9561666250228882 22685.0
ch, vs_mean, vl_pi, beta penalty= 0 0.625563383102417 0.9735705852508545 23207.1171875
ch, vs_mean, vl_pi, beta penalty= 0 0.6213758587837219 0.9708897471427917 23126.693359375
ch, vs_mean, vl_pi, beta penalty= 0 0.6450838446617126 0.9687020778656006 23061.0625
ch, vs_mean, vl_pi, beta penalty= 0 0.4974541962146759 0.9533054828643799 22599.1640625
ch, vs_mean, vl_pi, beta penalty= 0 0.4730861485004425 0.9356914758682251 22070.744140625
ch, vs_mean, vl_pi, beta penalty= 0 0.41840609908103943 0.9203312397003174 21609.9375
ch, vs_mean, vl_pi, beta penalty= 0 0.4040074050426483 0.9075493812561035 21226.482421875
ch, vs_mean, vl_pi, beta penalty= 0 0.3907652497291565 0.9108150005340576 21324.451171875
ch, vs_mean, vl_pi, beta penalty= 0 0.46351927518844604 0.9640902280807495 22922.70703125
ch, vs_mean, vl_pi, beta penalty= 0 0.48235511779785156 0.9696844816207886 23090.53515625
ch, vs_mean, vl_pi, beta penalty= 0 0.5084259510040283 0.9771527647972107 23314.583984375
ch, vs_mean, vl_pi, beta penalty= 0 0.49190443754196167 0.9849006533622742 23547.01953125
