n0050
Sun Sep 20 10:31:09 AM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 1 seed= 5 env= SafetyCarCircle2-v0 k_epochs 5
SafetyCircleMarginCMDP: Using safety_clearance=0.3000 with cost_scale=1000.0000, obs_cost_scale=1000.0000, beta=0.0100
SafetyCircleMarginCMDP: Using safety_clearance=0.3000 with cost_scale=1000.0000, obs_cost_scale=1000.0000, beta=0.0100
SafetyCircleMarginCMDP: Using safety_clearance=0.3000 with cost_scale=1000.0000, obs_cost_scale=1000.0000, beta=0.0100
env_id=SafetyCarCircle2-v0
state_dim=41
action_dim=2
max_action=1.0
max_episode_steps=1000
SafetyCircleMarginCMDP: Using safety_clearance=0.3000 with cost_scale=1000.0000, obs_cost_scale=1000.0000, beta=0.0100
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
Using device: cpu
evaluate_num:1 	 evaluate_reward:-0.03033952465486779 	 evaluate_cost:0.0 	 evaluate_max_cost:0.0
New best model found! Saving model with reward: -0.03033952465486779 and max cost: 0.0
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.33327755331993103 0.2 0.1332775503396988
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.33327755331993103 0.2 0.1332775503396988
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.33327755331993103 0.2 0.1332775503396988
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.33327755331993103 0.2 0.1332775503396988
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.5914459228515625 0.2 0.39144593477249146
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.5914459228515625 0.2 0.39144593477249146
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.5914459228515625 0.2 0.39144593477249146
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.5914459228515625 0.2 0.39144593477249146
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.5914459228515625 0.2 0.39144593477249146
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.3410569131374359 0.2 0.14105691015720367
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.3410569131374359 0.2 0.14105691015720367
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.3410569131374359 0.2 0.14105691015720367
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.3410569131374359 0.2 0.14105691015720367
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.3410569131374359 0.2 0.14105691015720367
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.6187604665756226 0.2 0.4187604784965515
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.6187604665756226 0.2 0.4187604784965515
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.6187604665756226 0.2 0.4187604784965515
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.6187604665756226 0.2 0.4187604784965515
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.6187604665756226 0.2 0.4187604784965515
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.7146763205528259 0.2 0.5146763324737549
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.7146763205528259 0.2 0.5146763324737549
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.7146763205528259 0.2 0.5146763324737549
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.7146763205528259 0.2 0.5146763324737549
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.7146763205528259 0.2 0.5146763324737549
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.5046812295913696 0.2 0.3046812415122986
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.5046812295913696 0.2 0.3046812415122986
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.5046812295913696 0.2 0.3046812415122986
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.5046812295913696 0.2 0.3046812415122986
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.5046812295913696 0.2 0.3046812415122986
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.25483450293540955 0.2 0.05483449995517731
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.25483450293540955 0.2 0.05483449995517731
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.25483450293540955 0.2 0.05483449995517731
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.25483450293540955 0.2 0.05483449995517731
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.25483450293540955 0.2 0.05483449995517731
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.4132838249206543 0.2 0.21328382194042206
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.4132838249206543 0.2 0.21328382194042206
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.4132838249206543 0.2 0.21328382194042206
