n0013
Wed Sep 23 08:19:09 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 110 seed= 5 env= SafetyCarCircle2-v0 k_epochs 5
SafetyCircleMargin: Using safety_clearance=0.3000
SafetyCircleMargin: Using safety_clearance=0.3000
SafetyCircleMargin: Using safety_clearance=0.3000
env_id=SafetyCarCircle2-v0
state_dim=40
action_dim=2
max_action=1.0
max_episode_steps=500
Using device: cpu
SafetyCircleMargin: Using safety_clearance=0.3000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:0.11544023192949308 	 evaluate_cost:21.634301653730716 	 evaluate_max_cost:0.9980825409818422
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9597939252853394 0.2 0.7597939372062683
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9505025148391724 0.2 0.7505025267601013
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9473044872283936 0.2 0.7473044991493225
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9229599237442017 0.2 0.7229599356651306
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9439389705657959 0.2 0.7439389824867249
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.96518874168396 0.2 0.7651887536048889
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9765567183494568 0.2 0.7765567302703857
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9899371266365051 0.2 0.7899371385574341
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 1.021365761756897 0.2 0.8213657736778259
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 1.0193898677825928 0.2 0.8193898797035217
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9854832887649536 0.2 0.7854833006858826
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9808779358863831 0.2 0.780877947807312
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.991727888584137 0.2 0.7917279005050659
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 1.0037193298339844 0.2 0.8037193417549133
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9814469218254089 0.2 0.7814469337463379
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9986850023269653 0.2 0.7986850142478943
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 1.0079890489578247 0.2 0.8079890608787537
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 1.0063972473144531 0.2 0.8063972592353821
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9847515225410461 0.2 0.7847515344619751
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9632629752159119 0.2 0.7632629871368408
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9635143876075745 0.2 0.7635143995285034
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9516471028327942 0.2 0.7516471147537231
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9500163197517395 0.2 0.7500163316726685
evaluate_num:5 	 evaluate_reward:3.2880741273698195 	 evaluate_cost:36.29064508281596 	 evaluate_max_cost:0.9864475488457279
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9738750457763672 0.2 0.7738750576972961
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9697492122650146 0.2 0.7697492241859436
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9612180590629578 0.2 0.7612180709838867
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.947729229927063 0.2 0.7477292418479919
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9501235485076904 0.2 0.7501235604286194
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9292370080947876 0.2 0.7292370200157166
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9240327477455139 0.2 0.7240327596664429
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9109383821487427 0.2 0.7109383940696716
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.8979107737541199 0.2 0.6979107856750488
