n0006
Mon Aug 31 07:39:41 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 1 seed= 6 env= HumanoidForwardObstacleCMDP k_epochs 5
env=HumanoidForwardObstacleCMDP
state_dim=376
action_dim=17
max_action=0.4000000059604645
max_episode_steps=1000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:4985.8236106825 	 evaluate_cost:34.657359027996606 	 evaluate_max_cost:0.03465735902799726
New best model found! Saving model with reward: 4985.8236106825 and max cost: 0.03465735902799726
ch, vs_mean, vl_pi, beta penalty= 0 481.05511474609375 tensor(1.0895) tensor(176864.9375)
ch, vs_mean, vl_pi, beta penalty= 0 482.0282287597656 tensor(1.0096) tensor(152873.5000)
ch, vs_mean, vl_pi, beta penalty= 0 482.08367919921875 tensor(0.9876) tensor(146265.4062)
ch, vs_mean, vl_pi, beta penalty= 0 479.9801330566406 tensor(0.9832) tensor(144959.9531)
ch, vs_mean, vl_pi, beta penalty= 0 473.8256530761719 tensor(1.0462) tensor(163861.2969)
ch, vs_mean, vl_pi, beta penalty= 0 472.5299072265625 tensor(1.0237) tensor(157103.7344)
ch, vs_mean, vl_pi, beta penalty= 0 473.6872253417969 tensor(0.9300) tensor(128987.9141)
ch, vs_mean, vl_pi, beta penalty= 0 471.4022521972656 tensor(0.9022) tensor(120658.6719)
ch, vs_mean, vl_pi, beta penalty= 0 472.4671936035156 tensor(0.8764) tensor(112919.5000)
ch, vs_mean, vl_pi, beta penalty= 0 472.70654296875 tensor(0.9522) tensor(135665.0938)
ch, vs_mean, vl_pi, beta penalty= 0 471.5924987792969 tensor(0.9466) tensor(133979.5781)
ch, vs_mean, vl_pi, beta penalty= 0 475.0621337890625 tensor(0.9223) tensor(126677.2266)
ch, vs_mean, vl_pi, beta penalty= 0 478.39886474609375 tensor(0.8924) tensor(117721.2578)
ch, vs_mean, vl_pi, beta penalty= 0 476.33917236328125 tensor(0.8760) tensor(112814.5156)
ch, vs_mean, vl_pi, beta penalty= 0 475.02703857421875 tensor(0.8915) tensor(117453.8984)
ch, vs_mean, vl_pi, beta penalty= 0 476.19122314453125 tensor(0.8784) tensor(113526.5000)
ch, vs_mean, vl_pi, beta penalty= 0 476.5074462890625 tensor(0.8598) tensor(107948.6484)
ch, vs_mean, vl_pi, beta penalty= 0 477.1606140136719 tensor(0.8496) tensor(104866.1797)
ch, vs_mean, vl_pi, beta penalty= 0 476.6644592285156 tensor(0.8288) tensor(98640.5781)
ch, vs_mean, vl_pi, beta penalty= 0 485.36090087890625 tensor(0.9184) tensor(125513.4375)
ch, vs_mean, vl_pi, beta penalty= 0 484.63055419921875 tensor(0.8739) tensor(112167.7656)
ch, vs_mean, vl_pi, beta penalty= 0 483.16217041015625 tensor(0.8491) tensor(104730.6953)
ch, vs_mean, vl_pi, beta penalty= 0 483.1280517578125 tensor(0.8270) tensor(98103.2109)
ch, vs_mean, vl_pi, beta penalty= 0 481.5360412597656 tensor(0.7471) tensor(74144.1250)
ch, vs_mean, vl_pi, beta penalty= 0 478.650634765625 tensor(0.8332) tensor(99959.6719)
ch, vs_mean, vl_pi, beta penalty= 0 479.508544921875 tensor(0.7918) tensor(87545.7656)
ch, vs_mean, vl_pi, beta penalty= 0 478.4663391113281 tensor(0.7979) tensor(89378.0703)
ch, vs_mean, vl_pi, beta penalty= 0 477.38482666015625 tensor(0.7777) tensor(83314.2734)
ch, vs_mean, vl_pi, beta penalty= 0 477.3314208984375 tensor(0.7604) tensor(78132.3906)
ch, vs_mean, vl_pi, beta penalty= 0 476.7743225097656 tensor(0.7553) tensor(76603.3516)
ch, vs_mean, vl_pi, beta penalty= 0 478.20794677734375 tensor(0.7157) tensor(64715.0859)
ch, vs_mean, vl_pi, beta penalty= 0 477.0455322265625 tensor(0.6787) tensor(53608.8125)
ch, vs_mean, vl_pi, beta penalty= 0 476.48345947265625 tensor(0.6478) tensor(44346.0703)
ch, vs_mean, vl_pi, beta penalty= 0 477.2173767089844 tensor(0.6331) tensor(39915.2383)
ch, vs_mean, vl_pi, beta penalty= 0 483.7628173828125 tensor(0.7332) tensor(69966.9609)
ch, vs_mean, vl_pi, beta penalty= 0 486.1549377441406 tensor(0.7002) tensor(60064.5859)
ch, vs_mean, vl_pi, beta penalty= 0 485.19085693359375 tensor(0.6743) tensor(52286.6953)
ch, vs_mean, vl_pi, beta penalty= 0 483.3755798339844 tensor(0.6541) tensor(46231.8945)
ch, vs_mean, vl_pi, beta penalty= 0 481.41009521484375 tensor(0.6521) tensor(45628.9336)
ch, vs_mean, vl_pi, beta penalty= 0 481.7453308105469 tensor(0.6971) tensor(59115.9766)
ch, vs_mean, vl_pi, beta penalty= 0 481.0957946777344 tensor(0.6880) tensor(56389.9766)
ch, vs_mean, vl_pi, beta penalty= 0 480.9564514160156 tensor(0.6823) tensor(54679.9766)
ch, vs_mean, vl_pi, beta penalty= 0 480.59967041015625 tensor(0.6752) tensor(52568.1836)
ch, vs_mean, vl_pi, beta penalty= 0 479.90216064453125 tensor(0.6418) tensor(42536.5078)
ch, vs_mean, vl_pi, beta penalty= 0 481.4552001953125 tensor(0.7625) tensor(78749.7656)
ch, vs_mean, vl_pi, beta penalty= 0 479.87554931640625 tensor(0.7321) tensor(69638.5156)
ch, vs_mean, vl_pi, beta penalty= 0 479.03411865234375 tensor(0.7282) tensor(68455.3906)
ch, vs_mean, vl_pi, beta penalty= 0 478.3875732421875 tensor(0.7033) tensor(60976.6953)
ch, vs_mean, vl_pi, beta penalty= 0 480.139892578125 tensor(0.6913) tensor(57384.6094)
ch, vs_mean, vl_pi, beta penalty= 0 478.7532958984375 tensor(0.6709) tensor(51278.6328)
ch, vs_mean, vl_pi, beta penalty= 0 479.1004638671875 tensor(0.6381) tensor(41421.8555)
ch, vs_mean, vl_pi, beta penalty= 0 479.55059814453125 tensor(0.6083) tensor(32490.9023)
ch, vs_mean, vl_pi, beta penalty= 0 478.0654296875 tensor(0.5827) tensor(24820.1602)
ch, vs_mean, vl_pi, beta penalty= 0 475.2093505859375 tensor(0.5616) tensor(18491.1133)
ch, vs_mean, vl_pi, beta penalty= 0 483.03851318359375 tensor(0.7145) tensor(64363.1641)
ch, vs_mean, vl_pi, beta penalty= 0 485.4619140625 tensor(0.6724) tensor(51717.7109)
ch, vs_mean, vl_pi, beta penalty= 0 484.88824462890625 tensor(0.6300) tensor(38991.6484)
ch, vs_mean, vl_pi, beta penalty= 0 484.16619873046875 tensor(0.5554) tensor(16617.7324)
ch, vs_mean, vl_pi, beta penalty= 0 481.91998291015625 tensor(0.5284) tensor(8532.3389)
ch, vs_mean, vl_pi, beta penalty= 0 475.50103759765625 tensor(0.5756) tensor(22667.9199)
ch, vs_mean, vl_pi, beta penalty= 0 475.3948974609375 tensor(0.5583) tensor(17475.2539)
ch, vs_mean, vl_pi, beta penalty= 0 474.5177001953125 tensor(0.5382) tensor(11452.7998)
ch, vs_mean, vl_pi, beta penalty= 0 475.0445251464844 tensor(0.5255) tensor(7661.4263)
ch, vs_mean, vl_pi, beta penalty= 0 474.51898193359375 tensor(0.4970) tensor(-889.9212)
