n0093
Tue Mar 31 10:06:01 PM EDT 2026
/home/sm3934/miniconda3/envs/ipm_rcrl_env/bin/python
run= 17 seed= 1 env= CartPolePerturbedEnv
env=CartPolePerturbedEnv
state_dim=4
action_dim=1
max_action=10.0
max_episode_steps=1000
No env selected
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:52.0 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
ch, vs_mean, vl_pi, beta penalty= 1 79.32466888427734 13.75031852722168 293.757963180542
ch, vs_mean, vl_pi, beta penalty= 1 82.69584655761719 12.216409683227539 255.41024208068848
ch, vs_mean, vl_pi, beta penalty= 1 77.07913208007812 14.521894454956055 313.04736137390137
ch, vs_mean, vl_pi, beta penalty= 1 79.79979705810547 12.69249153137207 267.31228828430176
ch, vs_mean, vl_pi, beta penalty= 1 79.55995178222656 12.881769180297852 272.0442295074463
ch, vs_mean, vl_pi, beta penalty= 1 82.63179016113281 11.338415145874023 233.4603786468506
ch, vs_mean, vl_pi, beta penalty= 1 80.6734390258789 12.057343482971191 251.43358707427979
ch, vs_mean, vl_pi, beta penalty= 1 77.68074798583984 12.99754524230957 274.93863105773926
ch, vs_mean, vl_pi, beta penalty= 1 82.59860229492188 11.863264083862305 246.58160209655762
ch, vs_mean, vl_pi, beta penalty= 1 81.29159545898438 12.146047592163086 253.65118980407715
ch, vs_mean, vl_pi, beta penalty= 1 82.80331420898438 11.353139877319336 233.8284969329834
ch, vs_mean, vl_pi, beta penalty= 1 79.68746948242188 12.554637908935547 263.8659477233887
ch, vs_mean, vl_pi, beta penalty= 1 83.0879135131836 12.479471206665039 261.986780166626
ch, vs_mean, vl_pi, beta penalty= 1 78.95747375488281 12.684743881225586 267.11859703063965
ch, vs_mean, vl_pi, beta penalty= 1 83.04129791259766 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 83.24341583251953 11.68404769897461 242.10119247436523
ch, vs_mean, vl_pi, beta penalty= 1 83.18424987792969 11.564362525939941 239.10906314849854
ch, vs_mean, vl_pi, beta penalty= 1 82.68379211425781 11.547405242919922 238.68513107299805
ch, vs_mean, vl_pi, beta penalty= 1 82.21524047851562 11.651790618896484 241.2947654724121
evaluate_num:11 	 evaluate_reward:500.0 	 evaluate_cost:110.62504372357536 	 evaluate_max_cost:1.6379276945473789
ch, vs_mean, vl_pi, beta penalty= 1 83.23616790771484 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 82.79563903808594 11.998819351196289 249.97048377990723
ch, vs_mean, vl_pi, beta penalty= 1 80.89444732666016 12.950143814086914 273.75359535217285
ch, vs_mean, vl_pi, beta penalty= 1 82.7652359008789 12.327159881591797 258.1789970397949
ch, vs_mean, vl_pi, beta penalty= 1 82.75569915771484 11.642377853393555 241.05944633483887
ch, vs_mean, vl_pi, beta penalty= 1 83.23487091064453 14.319740295410156 307.9935073852539
ch, vs_mean, vl_pi, beta penalty= 1 75.86819458007812 14.558279037475586 313.95697593688965
ch, vs_mean, vl_pi, beta penalty= 1 82.76683044433594 12.109004974365234 252.72512435913086
ch, vs_mean, vl_pi, beta penalty= 1 82.80375671386719 15.392845153808594 334.82112884521484
ch, vs_mean, vl_pi, beta penalty= 1 82.73800659179688 12.030241966247559 250.75604915618896
ch, vs_mean, vl_pi, beta penalty= 1 83.03312683105469 15.199959754943848 329.9989938735962
ch, vs_mean, vl_pi, beta penalty= 1 82.55955505371094 12.18121337890625 254.53033447265625
ch, vs_mean, vl_pi, beta penalty= 1 83.26799011230469 11.120838165283203 228.02095413208008
ch, vs_mean, vl_pi, beta penalty= 1 74.29771423339844 15.173593521118164 329.3398380279541
ch, vs_mean, vl_pi, beta penalty= 1 82.94480895996094 12.142094612121582 253.55236530303955
ch, vs_mean, vl_pi, beta penalty= 1 83.09066009521484 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 82.24058532714844 12.573537826538086 264.33844566345215
ch, vs_mean, vl_pi, beta penalty= 1 82.8504638671875 11.914464950561523 247.8616237640381
ch, vs_mean, vl_pi, beta penalty= 1 82.22430419921875 12.279603004455566 256.99007511138916
ch, vs_mean, vl_pi, beta penalty= 1 83.11881256103516 11.108633041381836 227.7158260345459
ch, vs_mean, vl_pi, beta penalty= 1 83.21542358398438 15.202472686767578 330.06181716918945
ch, vs_mean, vl_pi, beta penalty= 1 83.11693572998047 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 83.25088500976562 11.235417366027832 230.8854341506958
ch, vs_mean, vl_pi, beta penalty= 1 82.82899475097656 13.085539817810059 277.13849544525146
evaluate_num:12 	 evaluate_reward:500.0 	 evaluate_cost:0.0 	 evaluate_max_cost:0
ch, vs_mean, vl_pi, beta penalty= 1 83.27322387695312 15.191305160522461 329.7826290130615
ch, vs_mean, vl_pi, beta penalty= 1 83.197998046875 11.598077774047852 239.9519443511963
ch, vs_mean, vl_pi, beta penalty= 1 80.99359893798828 12.573137283325195 264.3284320831299
ch, vs_mean, vl_pi, beta penalty= 1 83.30233001708984 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 83.08666229248047 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 83.15194702148438 11.343323707580566 233.58309268951416
ch, vs_mean, vl_pi, beta penalty= 1 81.90943908691406 13.45555305480957 286.38882637023926
ch, vs_mean, vl_pi, beta penalty= 1 83.09220886230469 15.182280540466309 329.5570135116577
ch, vs_mean, vl_pi, beta penalty= 1 82.00959777832031 12.799426078796387 269.98565196990967
ch, vs_mean, vl_pi, beta penalty= 1 83.0706558227539 12.959356307983398 273.98390769958496
ch, vs_mean, vl_pi, beta penalty= 1 83.23751068115234 12.57203483581543 264.30087089538574
ch, vs_mean, vl_pi, beta penalty= 1 82.76597595214844 14.895793914794922 322.39484786987305
ch, vs_mean, vl_pi, beta penalty= 1 83.24992370605469 12.975072860717773 274.37682151794434
ch, vs_mean, vl_pi, beta penalty= 1 82.55525207519531 15.11572265625 327.89306640625
ch, vs_mean, vl_pi, beta penalty= 1 82.64505767822266 15.100545883178711 327.5136470794678
ch, vs_mean, vl_pi, beta penalty= 1 82.89242553710938 12.438501358032227 260.96253395080566
ch, vs_mean, vl_pi, beta penalty= 1 83.24388885498047 14.238350868225098 305.95877170562744
ch, vs_mean, vl_pi, beta penalty= 1 82.99737548828125 15.092975616455078 327.32439041137695
ch, vs_mean, vl_pi, beta penalty= 1 82.93479919433594 15.085075378417969 327.1268844604492
ch, vs_mean, vl_pi, beta penalty= 1 83.19144439697266 14.026782989501953 300.6695747375488
ch, vs_mean, vl_pi, beta penalty= 1 82.96235656738281 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 83.19623565673828 11.668048858642578 241.70122146606445
ch, vs_mean, vl_pi, beta penalty= 1 83.2366714477539 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 83.1869888305664 11.272822380065918 231.82055950164795
evaluate_num:13 	 evaluate_reward:500.0 	 evaluate_cost:0.0 	 evaluate_max_cost:0
ch, vs_mean, vl_pi, beta penalty= 1 83.18904876708984 12.684864044189453 267.1216011047363
ch, vs_mean, vl_pi, beta penalty= 1 83.135009765625 13.321074485778809 283.0268621444702
ch, vs_mean, vl_pi, beta penalty= 1 83.04727172851562 11.49822998046875 237.45574951171875
ch, vs_mean, vl_pi, beta penalty= 1 82.9848861694336 12.429155349731445 260.72888374328613
ch, vs_mean, vl_pi, beta penalty= 1 83.26063537597656 11.304265975952148 232.6066493988037
ch, vs_mean, vl_pi, beta penalty= 1 82.81392669677734 11.131758689880371 228.29396724700928
ch, vs_mean, vl_pi, beta penalty= 1 82.84892272949219 11.741092681884766 243.52731704711914
ch, vs_mean, vl_pi, beta penalty= 1 83.13609313964844 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 82.60968017578125 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 82.5933837890625 11.440011978149414 236.00029945373535
ch, vs_mean, vl_pi, beta penalty= 1 82.42169189453125 11.228052139282227 230.70130348205566
ch, vs_mean, vl_pi, beta penalty= 1 83.25959014892578 13.112722396850586 277.81805992126465
ch, vs_mean, vl_pi, beta penalty= 1 82.99090576171875 11.141897201538086 228.54743003845215
ch, vs_mean, vl_pi, beta penalty= 1 82.51253509521484 11.402466773986816 235.0616693496704
ch, vs_mean, vl_pi, beta penalty= 1 82.9403305053711 14.865867614746094 321.64669036865234
ch, vs_mean, vl_pi, beta penalty= 1 82.67442321777344 15.03877067565918 325.9692668914795
ch, vs_mean, vl_pi, beta penalty= 1 82.73070526123047 13.721928596496582 293.04821491241455
ch, vs_mean, vl_pi, beta penalty= 1 82.79849243164062 15.040258407592773 326.00646018981934
ch, vs_mean, vl_pi, beta penalty= 1 82.5947494506836 12.784830093383789 269.6207523345947
ch, vs_mean, vl_pi, beta penalty= 1 82.95307922363281 12.656503677368164 266.4125919342041
ch, vs_mean, vl_pi, beta penalty= 1 82.92475128173828 13.205240249633789 280.1310062408447
ch, vs_mean, vl_pi, beta penalty= 1 81.84542846679688 15.022605895996094 325.56514739990234
ch, vs_mean, vl_pi, beta penalty= 1 82.241943359375 14.990375518798828 324.7593879699707
ch, vs_mean, vl_pi, beta penalty= 1 82.77859497070312 14.972199440002441 324.30498600006104
ch, vs_mean, vl_pi, beta penalty= 1 82.88020324707031 12.236764907836914 255.91912269592285
evaluate_num:14 	 evaluate_reward:500.0 	 evaluate_cost:60.90646950923132 	 evaluate_max_cost:1.5781666395312222
ch, vs_mean, vl_pi, beta penalty= 1 82.64566040039062 14.949714660644531 323.7428665161133
ch, vs_mean, vl_pi, beta penalty= 1 82.79703521728516 12.059520721435547 251.48801803588867
ch, vs_mean, vl_pi, beta penalty= 1 83.01853942871094 14.944762229919434 323.61905574798584
ch, vs_mean, vl_pi, beta penalty= 1 83.03080749511719 13.064130783081055 276.60326957702637
ch, vs_mean, vl_pi, beta penalty= 1 83.25426483154297 13.311262130737305 282.7815532684326
ch, vs_mean, vl_pi, beta penalty= 1 82.73231506347656 12.34548568725586 258.6371421813965
ch, vs_mean, vl_pi, beta penalty= 1 82.93051147460938 14.895185470581055 322.37963676452637
ch, vs_mean, vl_pi, beta penalty= 1 83.12428283691406 13.533342361450195 288.3335590362549
ch, vs_mean, vl_pi, beta penalty= 1 83.01238250732422 13.553396224975586 288.83490562438965
ch, vs_mean, vl_pi, beta penalty= 1 83.0036849975586 13.543025016784668 288.5756254196167
ch, vs_mean, vl_pi, beta penalty= 1 82.85566711425781 13.549040794372559 288.72601985931396
ch, vs_mean, vl_pi, beta penalty= 1 83.04530334472656 12.647760391235352 266.1940097808838
ch, vs_mean, vl_pi, beta penalty= 1 83.08436584472656 13.672964096069336 291.8241024017334
ch, vs_mean, vl_pi, beta penalty= 1 83.26907348632812 10.0 200.0
