n0071
Sat Sep 19 04:26:14 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 501 seed= 6 env= HumanoidWithCost k_epochs 5
env=HumanoidWithCost
state_dim=376
action_dim=17
max_action=0.4000000059604645
max_episode_steps=1000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:4985.8236106825 	 evaluate_cost:0.03503666581309517 	 evaluate_max_cost:0.0001025578094413504
New best model found! Saving model with reward: 4985.8236106825 and max cost: 0.0001025578094413504
FAC | warm_start_active=False, vs_mean=476.0619, vl_pi= 3.0170918 beta_penalty= 605127.5 lambda_mean= [0.70974255] VC_mean= [2.6590126] d= [1.]
FAC | warm_start_active=False, vs_mean=478.7630, vl_pi= 3.1299076 beta_penalty= 638972.3 lambda_mean= [0.71004814] VC_mean= [2.6178384] d= [1.]
FAC | warm_start_active=False, vs_mean=474.6332, vl_pi= 2.9672813 beta_penalty= 590184.4 lambda_mean= [0.71004814] VC_mean= [2.5658112] d= [1.]
FAC | warm_start_active=False, vs_mean=475.7236, vl_pi= 2.8400931 beta_penalty= 552027.94 lambda_mean= [0.71004814] VC_mean= [2.5262895] d= [1.]
FAC | warm_start_active=False, vs_mean=475.0182, vl_pi= 2.8069267 beta_penalty= 542078.0 lambda_mean= [0.71004814] VC_mean= [2.5079684] d= [1.]
FAC | warm_start_active=False, vs_mean=476.2088, vl_pi= 2.7941108 beta_penalty= 538233.25 lambda_mean= [0.71004814] VC_mean= [2.4920537] d= [1.]
FAC | warm_start_active=False, vs_mean=472.0785, vl_pi= 2.9301631 beta_penalty= 579048.94 lambda_mean= [0.7097725] VC_mean= [2.4793777] d= [1.]
FAC | warm_start_active=False, vs_mean=471.5478, vl_pi= 2.7871165 beta_penalty= 536134.94 lambda_mean= [0.7097725] VC_mean= [2.4876761] d= [1.]
FAC | warm_start_active=False, vs_mean=471.8071, vl_pi= 2.83183 beta_penalty= 549549.0 lambda_mean= [0.7097725] VC_mean= [2.481938] d= [1.]
FAC | warm_start_active=False, vs_mean=472.2719, vl_pi= 2.734765 beta_penalty= 520429.53 lambda_mean= [0.7097725] VC_mean= [2.4984848] d= [1.]
FAC | warm_start_active=False, vs_mean=473.7928, vl_pi= 2.728388 beta_penalty= 518516.4 lambda_mean= [0.7097725] VC_mean= [2.4301271] d= [1.]
FAC | warm_start_active=False, vs_mean=466.6832, vl_pi= 2.8448763 beta_penalty= 553462.9 lambda_mean= [0.70977736] VC_mean= [2.4319172] d= [1.]
FAC | warm_start_active=False, vs_mean=464.7520, vl_pi= 2.7740042 beta_penalty= 532201.25 lambda_mean= [0.70977736] VC_mean= [2.396111] d= [1.]
FAC | warm_start_active=False, vs_mean=465.2519, vl_pi= 2.6798244 beta_penalty= 503947.3 lambda_mean= [0.70977736] VC_mean= [2.388587] d= [1.]
FAC | warm_start_active=False, vs_mean=467.3301, vl_pi= 2.71706 beta_penalty= 515118.03 lambda_mean= [0.70977736] VC_mean= [2.4245932] d= [1.]
FAC | warm_start_active=False, vs_mean=469.5604, vl_pi= 2.7382913 beta_penalty= 521487.38 lambda_mean= [0.70977736] VC_mean= [2.4585865] d= [1.]
FAC | warm_start_active=False, vs_mean=472.8919, vl_pi= 2.7822256 beta_penalty= 534667.7 lambda_mean= [0.7105704] VC_mean= [2.4530082] d= [1.]
FAC | warm_start_active=False, vs_mean=476.1707, vl_pi= 2.8699024 beta_penalty= 560970.7 lambda_mean= [0.7105704] VC_mean= [2.5061867] d= [1.]
FAC | warm_start_active=False, vs_mean=477.5323, vl_pi= 2.7893045 beta_penalty= 536791.4 lambda_mean= [0.7105704] VC_mean= [2.47052] d= [1.]
