n0054
Fri Sep  4 03:19:33 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 701 seed= 1 env= HalfCheetahCMDP k_epochs 5
env=HalfCheetahCMDP
state_dim=19
action_dim=6
max_action=1.0
max_episode_steps=1000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:4.725817244352644 	 evaluate_cost:0.0 	 evaluate_max_cost:0.0
New best model found! Saving model with reward: 4.725817244352644 and max cost: 0.0
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 47.91910934448242 tensor(6.9267) 40.9924430847168
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 48.90127944946289 tensor(6.9267) 41.974613189697266
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 48.90127944946289 tensor(6.9267) 41.974613189697266
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 48.90127944946289 tensor(6.9267) 41.974613189697266
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 48.90127944946289 tensor(6.9267) 41.974613189697266
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 48.90127944946289 tensor(6.9267) 41.974613189697266
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 48.55613327026367 tensor(6.9267) 41.62946701049805
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 48.55613327026367 tensor(6.9267) 41.62946701049805
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 48.55613327026367 tensor(6.9267) 41.62946701049805
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 48.55613327026367 tensor(6.9267) 41.62946701049805
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 48.55613327026367 tensor(6.9267) 41.62946701049805
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 48.03871536254883 tensor(6.9267) 41.1120491027832
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 48.03871536254883 tensor(6.9267) 41.1120491027832
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 48.03871536254883 tensor(6.9267) 41.1120491027832
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 48.03871536254883 tensor(6.9267) 41.1120491027832
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 48.03871536254883 tensor(6.9267) 41.1120491027832
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 56.99446487426758 tensor(6.9267) 50.06779861450195
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 56.99446487426758 tensor(6.9267) 50.06779861450195
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 56.99446487426758 tensor(6.9267) 50.06779861450195
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 56.99446487426758 tensor(6.9267) 50.06779861450195
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 56.99446487426758 tensor(6.9267) 50.06779861450195
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 53.22211837768555 tensor(6.9267) 46.29545211791992
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 53.22211837768555 tensor(6.9267) 46.29545211791992
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 53.22211837768555 tensor(6.9267) 46.29545211791992
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 53.22211837768555 tensor(6.9267) 46.29545211791992
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 53.22211837768555 tensor(6.9267) 46.29545211791992
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 47.39628219604492 tensor(6.9267) 40.4696159362793
