n0006
Sat Sep 19 04:36:59 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 501 seed= 5 env= HopperCostEnv k_epochs 5
env=HopperCostEnv
state_dim=11
action_dim=3
max_action=1.0
max_episode_steps=500
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:537.7318863089796 	 evaluate_cost:0.0 	 evaluate_max_cost:0.0
New best model found! Saving model with reward: 537.7318863089796 and max cost: 0.0
FAC | warm_start_active=False, vs_mean=171.8080, vl_pi= 0.59377295 beta_penalty= 14813.188 lambda_mean= [0.693802] VC_mean= [0.5281705] d= [0.1]
FAC | warm_start_active=False, vs_mean=178.4103, vl_pi= 0.59038866 beta_penalty= 14711.66 lambda_mean= [0.693802] VC_mean= [0.52536345] d= [0.1]
FAC | warm_start_active=False, vs_mean=180.7654, vl_pi= 0.579314 beta_penalty= 14379.42 lambda_mean= [0.693802] VC_mean= [0.5224702] d= [0.1]
FAC | warm_start_active=False, vs_mean=181.1565, vl_pi= 0.5767606 beta_penalty= 14302.818 lambda_mean= [0.693802] VC_mean= [0.52058244] d= [0.1]
FAC | warm_start_active=False, vs_mean=192.3398, vl_pi= 0.5814531 beta_penalty= 14443.593 lambda_mean= [0.6937809] VC_mean= [0.52155507] d= [0.1]
FAC | warm_start_active=False, vs_mean=198.5163, vl_pi= 0.5788624 beta_penalty= 14365.873 lambda_mean= [0.6937809] VC_mean= [0.5219327] d= [0.1]
FAC | warm_start_active=False, vs_mean=200.7385, vl_pi= 0.57005906 beta_penalty= 14101.772 lambda_mean= [0.6937809] VC_mean= [0.5212381] d= [0.1]
FAC | warm_start_active=False, vs_mean=200.8684, vl_pi= 0.5636632 beta_penalty= 13909.8955 lambda_mean= [0.6937809] VC_mean= [0.51965773] d= [0.1]
FAC | warm_start_active=False, vs_mean=201.6714, vl_pi= 0.5643177 beta_penalty= 13929.531 lambda_mean= [0.6937809] VC_mean= [0.5227416] d= [0.1]
FAC | warm_start_active=False, vs_mean=197.0084, vl_pi= 0.61621445 beta_penalty= 15486.433 lambda_mean= [0.69386154] VC_mean= [0.5280801] d= [0.1]
FAC | warm_start_active=False, vs_mean=201.7394, vl_pi= 0.61151606 beta_penalty= 15345.481 lambda_mean= [0.69386154] VC_mean= [0.52905536] d= [0.1]
