2026-03-09 15:43:11,584 - INFO - Ep 56 | Reward: 5.0 | Cost: 0.24 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.390 | Reward Term: 2.467 | Beta: 1.5445 | Optimized: Reward
2026-03-09 15:43:11,602 - INFO - Ep 57 | Reward: 13.0 | Cost: 1.24 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.399 | Reward Term: 6.728 | Beta: 1.5544 | Optimized: Reward
2026-03-09 15:43:11,614 - INFO - Ep 58 | Reward: 5.0 | Cost: 0.26 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.408 | Reward Term: 2.467 | Beta: 1.5643 | Optimized: Reward
2026-03-09 15:43:11,628 - INFO - Ep 59 | Reward: 9.0 | Cost: 0.57 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.417 | Reward Term: 4.382 | Beta: 1.5742 | Optimized: Reward
2026-03-09 15:43:11,639 - INFO - Ep 60 | Reward: 6.0 | Cost: 0.37 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.426 | Reward Term: 3.442 | Beta: 1.5841 | Optimized: Reward
2026-03-09 15:43:11,651 - INFO - Ep 61 | Reward: 6.0 | Cost: 0.52 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.435 | Reward Term: 2.950 | Beta: 1.5940 | Optimized: Reward
2026-03-09 15:43:11,665 - INFO - Ep 62 | Reward: 8.0 | Cost: 0.40 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.444 | Reward Term: 3.908 | Beta: 1.6039 | Optimized: Reward
2026-03-09 15:43:11,691 - INFO - Ep 63 | Reward: 19.0 | Cost: 1.56 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.452 | Reward Term: 8.953 | Beta: 1.6138 | Optimized: Reward
2026-03-09 15:43:11,709 - INFO - Ep 64 | Reward: 8.0 | Cost: 0.50 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.461 | Reward Term: 3.908 | Beta: 1.6237 | Optimized: Reward
2026-03-09 15:43:11,723 - INFO - Ep 65 | Reward: 8.0 | Cost: 0.37 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.470 | Reward Term: 4.397 | Beta: 1.6336 | Optimized: Reward
2026-03-09 15:43:11,734 - INFO - Ep 66 | Reward: 6.0 | Cost: 0.64 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.479 | Reward Term: 2.950 | Beta: 1.6435 | Optimized: Reward
2026-03-09 15:43:11,752 - INFO - Ep 67 | Reward: 13.0 | Cost: 0.76 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.488 | Reward Term: 6.728 | Beta: 1.6534 | Optimized: Reward
2026-03-09 15:43:11,764 - INFO - Ep 68 | Reward: 5.0 | Cost: 0.27 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.497 | Reward Term: 2.467 | Beta: 1.6633 | Optimized: Reward
2026-03-09 15:43:11,781 - INFO - Ep 69 | Reward: 12.0 | Cost: 1.05 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.506 | Reward Term: 6.268 | Beta: 1.6732 | Optimized: Reward
2026-03-09 15:43:11,797 - INFO - Ep 70 | Reward: 9.0 | Cost: 0.58 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.515 | Reward Term: 4.382 | Beta: 1.6831 | Optimized: Reward
2026-03-09 15:43:11,812 - INFO - Ep 71 | Reward: 9.0 | Cost: 0.80 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.524 | Reward Term: 4.382 | Beta: 1.6930 | Optimized: Reward
