n0071
Sat Sep 19 04:27:15 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 502 seed= 1 env= HumanoidWithCost k_epochs 5
env=HumanoidWithCost
state_dim=376
action_dim=17
max_action=0.4000000059604645
max_episode_steps=1000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:4985.070827026811 	 evaluate_cost:0.02382837289769668 	 evaluate_max_cost:9.343180136056617e-05
New best model found! Saving model with reward: 4985.070827026811 and max cost: 9.343180136056617e-05
FAC | warm_start_active=False, vs_mean=474.4622, vl_pi= 2.9578211 beta_penalty= 587346.3 lambda_mean= [0.7047081] VC_mean= [2.5637686] d= [1.]
FAC | warm_start_active=False, vs_mean=474.9797, vl_pi= 2.8806045 beta_penalty= 564181.4 lambda_mean= [0.7047081] VC_mean= [2.5478783] d= [1.]
FAC | warm_start_active=False, vs_mean=474.7740, vl_pi= 2.90628 beta_penalty= 571884.0 lambda_mean= [0.7047081] VC_mean= [2.5369442] d= [1.]
FAC | warm_start_active=False, vs_mean=479.0940, vl_pi= 2.9652026 beta_penalty= 589560.75 lambda_mean= [0.7039423] VC_mean= [2.5463724] d= [1.]
FAC | warm_start_active=False, vs_mean=478.9437, vl_pi= 2.9281363 beta_penalty= 578440.9 lambda_mean= [0.7039423] VC_mean= [2.5645056] d= [1.]
FAC | warm_start_active=False, vs_mean=476.9615, vl_pi= 2.849864 beta_penalty= 554959.2 lambda_mean= [0.7039423] VC_mean= [2.5922055] d= [1.]
FAC | warm_start_active=False, vs_mean=477.2693, vl_pi= 2.8656402 beta_penalty= 559692.06 lambda_mean= [0.7039423] VC_mean= [2.6132255] d= [1.]
FAC | warm_start_active=False, vs_mean=477.2794, vl_pi= 2.8198838 beta_penalty= 545965.1 lambda_mean= [0.7039423] VC_mean= [2.5873554] d= [1.]
FAC | warm_start_active=False, vs_mean=478.2105, vl_pi= 2.9328477 beta_penalty= 579854.3 lambda_mean= [0.7041935] VC_mean= [2.6125236] d= [1.]
FAC | warm_start_active=False, vs_mean=476.1839, vl_pi= 2.9326932 beta_penalty= 579808.0 lambda_mean= [0.7041935] VC_mean= [2.6196845] d= [1.]
FAC | warm_start_active=False, vs_mean=475.3852, vl_pi= 2.8056536 beta_penalty= 541696.06 lambda_mean= [0.7041935] VC_mean= [2.5823045] d= [1.]
FAC | warm_start_active=False, vs_mean=474.6921, vl_pi= 2.853498 beta_penalty= 556049.4 lambda_mean= [0.7041935] VC_mean= [2.6224556] d= [1.]
FAC | warm_start_active=False, vs_mean=472.6321, vl_pi= 2.8935065 beta_penalty= 568051.94 lambda_mean= [0.7041935] VC_mean= [2.6336753] d= [1.]
