n0050
Thu Aug 27 11:01:15 AM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 1 seed= 7 env= HalfCheetahForwardObstacleCMDP k_epochs 5
env=HalfCheetahForwardObstacleCMDP
state_dim=18
action_dim=6
max_action=1.0
max_episode_steps=1000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:1.8368217784400567 	 evaluate_cost:34.657359027996606 	 evaluate_max_cost:0.03465735902799726
New best model found! Saving model with reward: 1.8368217784400567 and max cost: 0.03465735902799726
ch, vs_mean, vl_pi, beta penalty= 0 85.34252166748047 tensor(5.5521) tensor(160564.4219)
ch, vs_mean, vl_pi, beta penalty= 0 84.8116455078125 tensor(5.5274) tensor(159821.4219)
ch, vs_mean, vl_pi, beta penalty= 0 88.36353302001953 tensor(6.9526) tensor(202579.3438)
ch, vs_mean, vl_pi, beta penalty= 0 85.05136108398438 tensor(6.8182) tensor(198545.2656)
ch, vs_mean, vl_pi, beta penalty= 0 82.90624237060547 tensor(6.8560) tensor(199678.9531)
ch, vs_mean, vl_pi, beta penalty= 0 81.0473403930664 tensor(6.7182) tensor(195547.0156)
ch, vs_mean, vl_pi, beta penalty= 0 79.64541625976562 tensor(6.6321) tensor(192962.7500)
ch, vs_mean, vl_pi, beta penalty= 0 75.92240142822266 tensor(3.3134) tensor(93403.4453)
ch, vs_mean, vl_pi, beta penalty= 0 75.41069030761719 tensor(3.2674) tensor(92021.4844)
ch, vs_mean, vl_pi, beta penalty= 0 75.3420181274414 tensor(3.2993) tensor(92978.0234)
ch, vs_mean, vl_pi, beta penalty= 0 74.80593872070312 tensor(3.2428) tensor(91283.2188)
ch, vs_mean, vl_pi, beta penalty= 0 73.92488861083984 tensor(3.1386) tensor(88159.2891)
ch, vs_mean, vl_pi, beta penalty= 0 71.71282958984375 tensor(8.2803) tensor(242408.4688)
ch, vs_mean, vl_pi, beta penalty= 0 72.08722686767578 tensor(8.1891) tensor(239671.5781)
ch, vs_mean, vl_pi, beta penalty= 0 72.78829956054688 tensor(8.1619) tensor(238857.7031)
ch, vs_mean, vl_pi, beta penalty= 0 73.52424621582031 tensor(8.0875) tensor(236624.9062)
ch, vs_mean, vl_pi, beta penalty= 0 74.15199279785156 tensor(7.9931) tensor(233792.4844)
ch, vs_mean, vl_pi, beta penalty= 0 82.03474426269531 tensor(8.0441) tensor(235323.3125)
ch, vs_mean, vl_pi, beta penalty= 0 80.95645904541016 tensor(8.0146) tensor(234437.7656)
ch, vs_mean, vl_pi, beta penalty= 0 79.05721282958984 tensor(7.9136) tensor(231407.4688)
ch, vs_mean, vl_pi, beta penalty= 0 78.2378921508789 tensor(7.8980) tensor(230940.5781)
ch, vs_mean, vl_pi, beta penalty= 0 77.22810363769531 tensor(7.9606) tensor(232817.3594)
ch, vs_mean, vl_pi, beta penalty= 0 78.21971130371094 tensor(5.4262) tensor(156786.0625)
ch, vs_mean, vl_pi, beta penalty= 0 79.16708374023438 tensor(5.4366) tensor(157097.7812)
ch, vs_mean, vl_pi, beta penalty= 0 80.0852279663086 tensor(5.4464) tensor(157392.5469)
ch, vs_mean, vl_pi, beta penalty= 0 80.16902160644531 tensor(5.3831) tensor(155493.4531)
ch, vs_mean, vl_pi, beta penalty= 0 81.32109069824219 tensor(5.3824) tensor(155471.5469)
ch, vs_mean, vl_pi, beta penalty= 0 77.37801361083984 tensor(6.2098) tensor(180294.4688)
ch, vs_mean, vl_pi, beta penalty= 0 76.86331176757812 tensor(6.0446) tensor(175338.2969)
ch, vs_mean, vl_pi, beta penalty= 0 76.51605224609375 tensor(5.9999) tensor(173996.5938)
ch, vs_mean, vl_pi, beta penalty= 0 74.96978759765625 tensor(5.9847) tensor(173541.9844)
ch, vs_mean, vl_pi, beta penalty= 0 75.40434265136719 tensor(5.9158) tensor(171473.1562)
ch, vs_mean, vl_pi, beta penalty= 0 79.29031372070312 tensor(4.6188) tensor(132565.1562)
ch, vs_mean, vl_pi, beta penalty= 0 82.19791412353516 tensor(4.5536) tensor(130608.1406)
ch, vs_mean, vl_pi, beta penalty= 0 83.51789855957031 tensor(4.4641) tensor(127923.8281)
ch, vs_mean, vl_pi, beta penalty= 0 85.6151123046875 tensor(4.4255) tensor(126766.2734)
ch, vs_mean, vl_pi, beta penalty= 0 86.62794494628906 tensor(4.3295) tensor(123885.6719)
ch, vs_mean, vl_pi, beta penalty= 0 87.31300354003906 tensor(3.3918) tensor(95753.8828)
ch, vs_mean, vl_pi, beta penalty= 0 87.23445892333984 tensor(3.3254) tensor(93762.9141)
ch, vs_mean, vl_pi, beta penalty= 0 86.67475128173828 tensor(3.3009) tensor(93025.5703)
ch, vs_mean, vl_pi, beta penalty= 0 86.51651000976562 tensor(3.2226) tensor(90678.8906)
ch, vs_mean, vl_pi, beta penalty= 0 85.83929443359375 tensor(3.1432) tensor(88295.8828)
ch, vs_mean, vl_pi, beta penalty= 0 85.64328002929688 tensor(5.0372) tensor(145116.3125)
ch, vs_mean, vl_pi, beta penalty= 0 83.72615051269531 tensor(4.9938) tensor(143814.7188)
ch, vs_mean, vl_pi, beta penalty= 0 83.3769302368164 tensor(4.9527) tensor(142580.1562)
ch, vs_mean, vl_pi, beta penalty= 0 82.32595825195312 tensor(4.9346) tensor(142038.8438)
ch, vs_mean, vl_pi, beta penalty= 0 81.6086196899414 tensor(4.8848) tensor(140543.)
ch, vs_mean, vl_pi, beta penalty= 0 84.66989135742188 tensor(2.0169) tensor(54508.2109)
ch, vs_mean, vl_pi, beta penalty= 0 83.86791229248047 tensor(2.0609) tensor(55827.0781)
ch, vs_mean, vl_pi, beta penalty= 0 82.8514404296875 tensor(2.1304) tensor(57912.0898)
ch, vs_mean, vl_pi, beta penalty= 0 81.66433715820312 tensor(2.1372) tensor(58114.9805)
ch, vs_mean, vl_pi, beta penalty= 0 81.2661361694336 tensor(2.2060) tensor(60179.5078)
ch, vs_mean, vl_pi, beta penalty= 0 81.26730346679688 tensor(3.5601) tensor(100802.6641)
ch, vs_mean, vl_pi, beta penalty= 0 81.71218872070312 tensor(3.5115) tensor(99344.7500)
ch, vs_mean, vl_pi, beta penalty= 0 82.19693756103516 tensor(3.4934) tensor(98802.3516)
ch, vs_mean, vl_pi, beta penalty= 0 82.04277801513672 tensor(3.4234) tensor(96701.7812)
ch, vs_mean, vl_pi, beta penalty= 0 83.59180450439453 tensor(3.4421) tensor(97264.0312)
ch, vs_mean, vl_pi, beta penalty= 0 92.12702178955078 tensor(6.1621) tensor(178863.5781)
ch, vs_mean, vl_pi, beta penalty= 0 88.36062622070312 tensor(5.9641) tensor(172921.8594)
ch, vs_mean, vl_pi, beta penalty= 0 85.63909912109375 tensor(5.8908) tensor(170723.3125)
ch, vs_mean, vl_pi, beta penalty= 0 82.146484375 tensor(5.8694) tensor(170083.2031)
ch, vs_mean, vl_pi, beta penalty= 0 78.81922912597656 tensor(5.8741) tensor(170222.4219)
evaluate_num:2 	 evaluate_reward:650.0226869990971 	 evaluate_cost:109.7705448865383 	 evaluate_max_cost:1.9973293430952221
