2026-03-09 15:28:29,026 - INFO - Ep 93 | Reward: 14.0 | Cost: 0.07 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.720 | Reward Term: 7.185 | Beta: 1.9108 | Optimized: Reward
2026-03-09 15:28:29,044 - INFO - Ep 94 | Reward: 9.0 | Cost: 0.22 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.729 | Reward Term: 4.382 | Beta: 1.9207 | Optimized: Reward
2026-03-09 15:28:29,073 - INFO - Ep 95 | Reward: 21.0 | Cost: 0.12 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.738 | Reward Term: 10.300 | Beta: 1.9306 | Optimized: Reward
2026-03-09 15:28:29,096 - INFO - Ep 96 | Reward: 13.0 | Cost: 0.05 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.746 | Reward Term: 6.728 | Beta: 1.9405 | Optimized: Reward
2026-03-09 15:28:29,109 - INFO - Ep 97 | Reward: 6.0 | Cost: 0.11 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.755 | Reward Term: 2.950 | Beta: 1.9504 | Optimized: Reward
2026-03-09 15:28:29,136 - INFO - Ep 98 | Reward: 19.0 | Cost: 0.38 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.764 | Reward Term: 8.953 | Beta: 1.9603 | Optimized: Reward
2026-03-09 15:28:29,168 - INFO - Ep 99 | Reward: 20.0 | Cost: 0.07 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.773 | Reward Term: 9.394 | Beta: 1.9702 | Optimized: Reward
2026-03-09 15:28:29,193 - INFO - Ep 100 | Reward: 14.0 | Cost: 0.31 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.782 | Reward Term: 6.706 | Beta: 1.9801 | Optimized: Reward
2026-03-09 15:28:29,537 - INFO - Ep 101 | Reward: 12.0 | Cost: 0.37 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.791 | Reward Term: 6.268 | Beta: 1.9900 | Optimized: Reward
2026-03-09 15:28:29,591 - INFO - Ep 102 | Reward: 41.0 | Cost: 3.27 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.800 | Reward Term: 18.014 | Beta: 1.9999 | Optimized: Reward
2026-03-09 15:28:29,619 - INFO - Ep 103 | Reward: 13.0 | Cost: 0.07 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.809 | Reward Term: 6.728 | Beta: 2.0098 | Optimized: Reward
2026-03-09 15:28:29,645 - INFO - Ep 104 | Reward: 17.0 | Cost: 0.19 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.818 | Reward Term: 8.538 | Beta: 2.0197 | Optimized: Reward
2026-03-09 15:28:29,665 - INFO - Ep 105 | Reward: 11.0 | Cost: 0.31 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.827 | Reward Term: 5.321 | Beta: 2.0296 | Optimized: Reward
2026-03-09 15:28:29,688 - INFO - Ep 106 | Reward: 14.0 | Cost: 0.07 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.836 | Reward Term: 6.706 | Beta: 2.0395 | Optimized: Reward
2026-03-09 15:28:29,704 - INFO - Ep 107 | Reward: 8.0 | Cost: 0.06 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.844 | Reward Term: 3.908 | Beta: 2.0494 | Optimized: Reward
2026-03-09 15:28:29,730 - INFO - Ep 108 | Reward: 18.0 | Cost: 0.30 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.853 | Reward Term: 8.983 | Beta: 2.0593 | Optimized: Reward
2026-03-09 15:28:29,774 - INFO - Ep 109 | Reward: 33.0 | Cost: 0.13 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.862 | Reward Term: 15.319 | Beta: 2.0692 | Optimized: Reward
2026-03-09 15:28:29,794 - INFO - Ep 110 | Reward: 8.0 | Cost: 0.22 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.871 | Reward Term: 4.397 | Beta: 2.0791 | Optimized: Reward
2026-03-09 15:28:29,816 - INFO - Ep 111 | Reward: 15.0 | Cost: 0.11 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.880 | Reward Term: 7.639 | Beta: 2.0890 | Optimized: Reward
2026-03-09 15:28:29,841 - INFO - Ep 112 | Reward: 15.0 | Cost: 0.38 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.889 | Reward Term: 7.161 | Beta: 2.0989 | Optimized: Reward
2026-03-09 15:28:29,857 - INFO - Ep 113 | Reward: 8.0 | Cost: 0.15 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.898 | Reward Term: 3.908 | Beta: 2.1088 | Optimized: Reward
