n0093
Tue Aug 25 04:39:59 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 1 seed= 5 env= HalfCheetahForwardObstaclePerturbed k_epochs 5
env=HalfCheetahForwardObstaclePerturbed
state_dim=18
action_dim=6
max_action=1.0
max_episode_steps=1000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:8.480583454798156 	 evaluate_cost:34.657359027996606 	 evaluate_max_cost:0.03465735902799726
New best model found! Saving model with reward: 8.480583454798156 and max cost: 0.03465735902799726
ch, vs_mean, vl_pi, beta penalty= 0 75.2146987915039 tensor(4.1223) tensor(117668.0156)
ch, vs_mean, vl_pi, beta penalty= 0 74.82988739013672 tensor(4.0155) tensor(114463.9844)
ch, vs_mean, vl_pi, beta penalty= 0 74.24177551269531 tensor(3.9467) tensor(112401.2812)
ch, vs_mean, vl_pi, beta penalty= 0 75.10560607910156 tensor(3.9285) tensor(111856.)
ch, vs_mean, vl_pi, beta penalty= 0 76.71234893798828 tensor(3.9368) tensor(112104.4531)
ch, vs_mean, vl_pi, beta penalty= 0 77.57502746582031 tensor(3.8860) tensor(110578.5547)
ch, vs_mean, vl_pi, beta penalty= 0 78.20542907714844 tensor(3.8176) tensor(108527.8281)
ch, vs_mean, vl_pi, beta penalty= 0 83.15284729003906 tensor(2.0130) tensor(54389.5273)
ch, vs_mean, vl_pi, beta penalty= 0 81.01109313964844 tensor(2.0158) tensor(54475.3164)
ch, vs_mean, vl_pi, beta penalty= 0 79.24713897705078 tensor(1.9964) tensor(53893.2070)
ch, vs_mean, vl_pi, beta penalty= 0 77.54422760009766 tensor(2.0155) tensor(54464.4141)
ch, vs_mean, vl_pi, beta penalty= 0 76.71343994140625 tensor(2.0643) tensor(55928.6367)
ch, vs_mean, vl_pi, beta penalty= 0 75.69950866699219 tensor(1.8294) tensor(48882.2148)
ch, vs_mean, vl_pi, beta penalty= 0 76.0261459350586 tensor(1.8833) tensor(50497.7930)
ch, vs_mean, vl_pi, beta penalty= 0 76.35904693603516 tensor(1.8543) tensor(49629.5117)
ch, vs_mean, vl_pi, beta penalty= 0 76.90168762207031 tensor(1.9215) tensor(51643.8984)
ch, vs_mean, vl_pi, beta penalty= 0 76.95022583007812 tensor(1.9330) tensor(51989.7695)
ch, vs_mean, vl_pi, beta penalty= 0 76.03636169433594 tensor(1.4357) tensor(37070.2930)
ch, vs_mean, vl_pi, beta penalty= 0 77.29708099365234 tensor(1.4138) tensor(36414.1797)
ch, vs_mean, vl_pi, beta penalty= 0 78.33271789550781 tensor(1.4016) tensor(36048.6445)
ch, vs_mean, vl_pi, beta penalty= 0 79.8485107421875 tensor(1.3859) tensor(35578.1055)
ch, vs_mean, vl_pi, beta penalty= 0 80.787353515625 tensor(1.3740) tensor(35219.3945)
ch, vs_mean, vl_pi, beta penalty= 0 79.92477416992188 tensor(3.1598) tensor(88795.1797)
ch, vs_mean, vl_pi, beta penalty= 0 81.40978240966797 tensor(3.1217) tensor(87651.2500)
ch, vs_mean, vl_pi, beta penalty= 0 82.67243194580078 tensor(3.0903) tensor(86709.7812)
ch, vs_mean, vl_pi, beta penalty= 0 83.51792907714844 tensor(3.0247) tensor(84740.4688)
ch, vs_mean, vl_pi, beta penalty= 0 84.3778076171875 tensor(2.9704) tensor(83111.7812)
ch, vs_mean, vl_pi, beta penalty= 0 88.07058715820312 tensor(1.9538) tensor(52612.6172)
ch, vs_mean, vl_pi, beta penalty= 0 87.65806579589844 tensor(2.0137) tensor(54412.4727)
ch, vs_mean, vl_pi, beta penalty= 0 87.13816833496094 tensor(2.0616) tensor(55848.5625)
ch, vs_mean, vl_pi, beta penalty= 0 86.05966186523438 tensor(2.0539) tensor(55616.3320)
ch, vs_mean, vl_pi, beta penalty= 0 86.2833480834961 tensor(2.0448) tensor(55342.9141)
ch, vs_mean, vl_pi, beta penalty= 0 87.21366882324219 tensor(1.7854) tensor(47562.5977)
ch, vs_mean, vl_pi, beta penalty= 0 87.5157241821289 tensor(1.8414) tensor(49241.5781)
ch, vs_mean, vl_pi, beta penalty= 0 87.91729736328125 tensor(1.8630) tensor(49888.9336)
ch, vs_mean, vl_pi, beta penalty= 0 88.62339782714844 tensor(1.8899) tensor(50698.2188)
ch, vs_mean, vl_pi, beta penalty= 0 88.57540893554688 tensor(1.9242) tensor(51727.0664)
ch, vs_mean, vl_pi, beta penalty= 0 87.45271301269531 tensor(5.4785) tensor(158356.4531)
ch, vs_mean, vl_pi, beta penalty= 0 87.75473022460938 tensor(5.4507) tensor(157522.4219)
ch, vs_mean, vl_pi, beta penalty= 0 86.21577453613281 tensor(5.3943) tensor(155828.8281)
ch, vs_mean, vl_pi, beta penalty= 0 85.84630584716797 tensor(5.3139) tensor(153418.4219)
