n0006
Mon Aug 31 07:39:41 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 1 seed= 6 env= HumanoidForwardObstaclePerturbed k_epochs 5
env=HumanoidForwardObstaclePerturbed
state_dim=376
action_dim=17
max_action=0.4000000059604645
max_episode_steps=1000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:4985.802438336743 	 evaluate_cost:34.657359027996606 	 evaluate_max_cost:0.03465735902799726
New best model found! Saving model with reward: 4985.802438336743 and max cost: 0.03465735902799726
ch, vs_mean, vl_pi, beta penalty= 0 477.976806640625 tensor(0.7627) tensor(78821.1797)
ch, vs_mean, vl_pi, beta penalty= 0 476.8544921875 tensor(0.8079) tensor(92384.8281)
ch, vs_mean, vl_pi, beta penalty= 0 474.1639404296875 tensor(0.8608) tensor(108249.8438)
ch, vs_mean, vl_pi, beta penalty= 0 473.3488464355469 tensor(0.8630) tensor(108886.6016)
ch, vs_mean, vl_pi, beta penalty= 0 476.07476806640625 tensor(0.9052) tensor(121547.8984)
ch, vs_mean, vl_pi, beta penalty= 0 477.0073547363281 tensor(0.8940) tensor(118193.0078)
ch, vs_mean, vl_pi, beta penalty= 0 477.4675598144531 tensor(0.8685) tensor(110561.1172)
ch, vs_mean, vl_pi, beta penalty= 0 477.28558349609375 tensor(0.8583) tensor(107496.8906)
ch, vs_mean, vl_pi, beta penalty= 0 477.043212890625 tensor(0.8437) tensor(103112.7656)
ch, vs_mean, vl_pi, beta penalty= 0 477.6353454589844 tensor(0.8679) tensor(110383.5391)
ch, vs_mean, vl_pi, beta penalty= 0 477.0302734375 tensor(0.8138) tensor(94133.8047)
ch, vs_mean, vl_pi, beta penalty= 0 479.2374267578125 tensor(0.7873) tensor(86178.8750)
ch, vs_mean, vl_pi, beta penalty= 0 480.5166015625 tensor(0.7227) tensor(66808.1797)
ch, vs_mean, vl_pi, beta penalty= 0 477.2298583984375 tensor(0.7146) tensor(64367.4727)
ch, vs_mean, vl_pi, beta penalty= 0 478.4996643066406 tensor(0.7895) tensor(86840.7031)
ch, vs_mean, vl_pi, beta penalty= 0 481.3380126953125 tensor(0.7644) tensor(79322.3438)
ch, vs_mean, vl_pi, beta penalty= 0 482.676513671875 tensor(0.7501) tensor(75039.5156)
ch, vs_mean, vl_pi, beta penalty= 0 482.79132080078125 tensor(0.7199) tensor(65965.1016)
ch, vs_mean, vl_pi, beta penalty= 0 482.3740539550781 tensor(0.6839) tensor(55176.7930)
ch, vs_mean, vl_pi, beta penalty= 0 481.6904296875 tensor(0.7964) tensor(88924.9531)
ch, vs_mean, vl_pi, beta penalty= 0 482.23101806640625 tensor(0.9581) tensor(137423.0625)
ch, vs_mean, vl_pi, beta penalty= 0 479.45147705078125 tensor(0.9624) tensor(138707.1875)
ch, vs_mean, vl_pi, beta penalty= 0 480.0003356933594 tensor(1.0234) tensor(157024.5312)
ch, vs_mean, vl_pi, beta penalty= 0 479.9739074707031 tensor(1.0715) tensor(171451.2031)
ch, vs_mean, vl_pi, beta penalty= 0 469.280029296875 tensor(1.1286) tensor(188583.1094)
ch, vs_mean, vl_pi, beta penalty= 0 468.2344665527344 tensor(1.0793) tensor(173787.7656)
ch, vs_mean, vl_pi, beta penalty= 0 466.91168212890625 tensor(1.0918) tensor(177529.7656)
ch, vs_mean, vl_pi, beta penalty= 0 467.97332763671875 tensor(1.0564) tensor(166916.1875)
ch, vs_mean, vl_pi, beta penalty= 0 467.5523681640625 tensor(1.0167) tensor(155020.5625)
ch, vs_mean, vl_pi, beta penalty= 0 470.9568176269531 tensor(0.9952) tensor(148571.0781)
ch, vs_mean, vl_pi, beta penalty= 0 471.5530090332031 tensor(0.9834) tensor(145029.5156)
ch, vs_mean, vl_pi, beta penalty= 0 471.0895690917969 tensor(0.9274) tensor(128233.6797)
ch, vs_mean, vl_pi, beta penalty= 0 469.36651611328125 tensor(0.9040) tensor(121199.3125)
ch, vs_mean, vl_pi, beta penalty= 0 470.4273681640625 tensor(0.8806) tensor(114170.8047)
evaluate_num:2 	 evaluate_reward:4772.336229088682 	 evaluate_cost:34.657359027996606 	 evaluate_max_cost:0.03465735902799726
ch, vs_mean, vl_pi, beta penalty= 0 476.1164855957031 tensor(0.9051) tensor(121523.9531)
