n0050
Sun Sep 20 10:22:59 AM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 1 seed= 6 env= HumanoidWithCost
env=HumanoidWithCost
state_dim=376
action_dim=17
max_action=0.4000000059604645
max_episode_steps=1000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
lambda=0.00000, eps=1.00000, pred_cost=175.21547, p_value=0.99993, constraint_value=0.00810, constraint_violation=-0.99190
lambda=0.00000, eps=1.00000, pred_cost=174.60893, p_value=0.99993, constraint_value=0.00818, constraint_violation=-0.99182
lambda=0.00000, eps=1.00000, pred_cost=175.60956, p_value=0.99993, constraint_value=0.00749, constraint_violation=-0.99251
lambda=0.00000, eps=1.00000, pred_cost=174.75211, p_value=0.99993, constraint_value=0.00751, constraint_violation=-0.99249
lambda=0.00000, eps=1.00000, pred_cost=179.04448, p_value=0.99994, constraint_value=0.00646, constraint_violation=-0.99354
lambda=0.00000, eps=1.00000, pred_cost=171.79636, p_value=0.99992, constraint_value=0.00873, constraint_violation=-0.99127
lambda=0.00000, eps=1.00000, pred_cost=172.50307, p_value=0.99993, constraint_value=0.00760, constraint_violation=-0.99240
lambda=0.00000, eps=1.00000, pred_cost=173.52650, p_value=0.99993, constraint_value=0.00758, constraint_violation=-0.99242
lambda=0.00000, eps=1.00000, pred_cost=172.92053, p_value=0.99993, constraint_value=0.00743, constraint_violation=-0.99257
lambda=0.00000, eps=1.00000, pred_cost=172.65729, p_value=0.99992, constraint_value=0.00892, constraint_violation=-0.99108
lambda=0.00000, eps=1.00000, pred_cost=177.12195, p_value=0.99993, constraint_value=0.00813, constraint_violation=-0.99187
lambda=0.00000, eps=1.00000, pred_cost=172.46188, p_value=0.99992, constraint_value=0.00906, constraint_violation=-0.99094
lambda=0.00000, eps=1.00000, pred_cost=174.84045, p_value=0.99991, constraint_value=0.01025, constraint_violation=-0.98975
lambda=0.00000, eps=1.00000, pred_cost=178.49432, p_value=0.99994, constraint_value=0.00698, constraint_violation=-0.99302
lambda=0.00000, eps=1.00000, pred_cost=174.31781, p_value=0.99993, constraint_value=0.00821, constraint_violation=-0.99179
lambda=0.00000, eps=1.00000, pred_cost=173.14594, p_value=0.99991, constraint_value=0.01001, constraint_violation=-0.98999
lambda=0.00000, eps=1.00000, pred_cost=177.05392, p_value=0.99993, constraint_value=0.00851, constraint_violation=-0.99149
lambda=0.00000, eps=1.00000, pred_cost=178.68745, p_value=0.99994, constraint_value=0.00747, constraint_violation=-0.99253
lambda=0.00000, eps=1.00000, pred_cost=174.91634, p_value=0.99993, constraint_value=0.00770, constraint_violation=-0.99230
lambda=0.00000, eps=1.00000, pred_cost=175.00746, p_value=0.99993, constraint_value=0.00844, constraint_violation=-0.99156
lambda=0.00000, eps=1.00000, pred_cost=177.77150, p_value=0.99993, constraint_value=0.00800, constraint_violation=-0.99200
lambda=0.00000, eps=1.00000, pred_cost=181.04810, p_value=0.99994, constraint_value=0.00733, constraint_violation=-0.99267
lambda=0.00000, eps=1.00000, pred_cost=177.77202, p_value=0.99994, constraint_value=0.00693, constraint_violation=-0.99307
lambda=0.00000, eps=1.00000, pred_cost=178.39037, p_value=0.99993, constraint_value=0.00871, constraint_violation=-0.99129
lambda=0.00000, eps=1.00000, pred_cost=178.22258, p_value=0.99993, constraint_value=0.00928, constraint_violation=-0.99072
lambda=0.00000, eps=1.00000, pred_cost=177.47606, p_value=0.99992, constraint_value=0.00972, constraint_violation=-0.99028
lambda=0.00000, eps=1.00000, pred_cost=179.23294, p_value=0.99992, constraint_value=0.00938, constraint_violation=-0.99062
