n0093
Tue Aug 25 05:25:03 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 3 seed= 3 env= HalfCheetahForwardObstaclePerturbed k_epochs 5
env=HalfCheetahForwardObstaclePerturbed
state_dim=18
action_dim=6
max_action=1.0
max_episode_steps=1000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:8.489046217548397 	 evaluate_cost:34.657359027996606 	 evaluate_max_cost:0.03465735902799726
New best model found! Saving model with reward: 8.489046217548397 and max cost: 0.03465735902799726
ch, vs_mean, vl_pi, beta penalty= 0 79.13694763183594 tensor(3.0695) tensor(86084.9688)
ch, vs_mean, vl_pi, beta penalty= 0 78.62472534179688 tensor(3.0649) tensor(85945.9688)
ch, vs_mean, vl_pi, beta penalty= 0 77.83618927001953 tensor(3.0347) tensor(85040.0625)
ch, vs_mean, vl_pi, beta penalty= 0 77.0489730834961 tensor(2.9621) tensor(82862.8125)
ch, vs_mean, vl_pi, beta penalty= 0 75.88522338867188 tensor(2.9662) tensor(82986.6562)
ch, vs_mean, vl_pi, beta penalty= 0 74.92587280273438 tensor(3.2768) tensor(92304.2500)
ch, vs_mean, vl_pi, beta penalty= 0 75.4635009765625 tensor(3.2851) tensor(92554.3516)
ch, vs_mean, vl_pi, beta penalty= 0 75.88252258300781 tensor(3.3052) tensor(93156.3516)
ch, vs_mean, vl_pi, beta penalty= 0 75.23820495605469 tensor(3.2872) tensor(92616.2500)
ch, vs_mean, vl_pi, beta penalty= 0 75.51399993896484 tensor(3.2343) tensor(91028.3516)
ch, vs_mean, vl_pi, beta penalty= 0 81.75743865966797 tensor(3.6999) tensor(104996.5234)
ch, vs_mean, vl_pi, beta penalty= 0 81.56161499023438 tensor(3.5970) tensor(101909.4375)
ch, vs_mean, vl_pi, beta penalty= 0 80.71195220947266 tensor(3.5403) tensor(100208.5859)
ch, vs_mean, vl_pi, beta penalty= 0 80.12451171875 tensor(3.5286) tensor(99857.7891)
ch, vs_mean, vl_pi, beta penalty= 0 79.93281555175781 tensor(3.5167) tensor(99502.3672)
ch, vs_mean, vl_pi, beta penalty= 0 76.08473205566406 tensor(4.2777) tensor(122329.6562)
ch, vs_mean, vl_pi, beta penalty= 0 76.57913208007812 tensor(4.3816) tensor(125448.7188)
ch, vs_mean, vl_pi, beta penalty= 0 76.95907592773438 tensor(4.3598) tensor(124792.5703)
ch, vs_mean, vl_pi, beta penalty= 0 76.89339447021484 tensor(4.2726) tensor(122176.9844)
ch, vs_mean, vl_pi, beta penalty= 0 77.45072937011719 tensor(4.3775) tensor(125326.1641)
ch, vs_mean, vl_pi, beta penalty= 0 79.83468627929688 tensor(5.0957) tensor(146872.3906)
ch, vs_mean, vl_pi, beta penalty= 0 78.88976287841797 tensor(4.9285) tensor(141854.0625)
ch, vs_mean, vl_pi, beta penalty= 0 78.18562316894531 tensor(4.8135) tensor(138405.6875)
ch, vs_mean, vl_pi, beta penalty= 0 76.75279235839844 tensor(4.7827) tensor(137481.1562)
ch, vs_mean, vl_pi, beta penalty= 0 76.23885345458984 tensor(4.7690) tensor(137070.2969)
ch, vs_mean, vl_pi, beta penalty= 0 75.90045928955078 tensor(5.8908) tensor(170722.6562)
ch, vs_mean, vl_pi, beta penalty= 0 73.64540100097656 tensor(5.8661) tensor(169982.3438)
ch, vs_mean, vl_pi, beta penalty= 0 72.6180419921875 tensor(5.8420) tensor(169260.4062)
ch, vs_mean, vl_pi, beta penalty= 0 71.29327392578125 tensor(5.7126) tensor(165376.5469)
ch, vs_mean, vl_pi, beta penalty= 0 70.09619140625 tensor(5.7897) tensor(167689.5625)
ch, vs_mean, vl_pi, beta penalty= 0 80.7032241821289 tensor(1.1244) tensor(27731.7402)
ch, vs_mean, vl_pi, beta penalty= 0 80.58650207519531 tensor(1.1001) tensor(27003.2012)
ch, vs_mean, vl_pi, beta penalty= 0 81.30036926269531 tensor(1.0829) tensor(26488.4258)
ch, vs_mean, vl_pi, beta penalty= 0 81.47811126708984 tensor(1.0597) tensor(25792.1172)
ch, vs_mean, vl_pi, beta penalty= 0 82.29131317138672 tensor(1.0438) tensor(25313.6289)
ch, vs_mean, vl_pi, beta penalty= 0 72.38253021240234 tensor(4.3241) tensor(123723.6953)
ch, vs_mean, vl_pi, beta penalty= 0 74.239501953125 tensor(4.2532) tensor(121595.2891)
ch, vs_mean, vl_pi, beta penalty= 0 74.9097900390625 tensor(4.0776) tensor(116326.9375)
ch, vs_mean, vl_pi, beta penalty= 0 75.90425109863281 tensor(4.0243) tensor(114728.2969)
ch, vs_mean, vl_pi, beta penalty= 0 76.19010162353516 tensor(3.9616) tensor(112848.3906)
