n0008
Sun Mar 29 03:18:18 PM EDT 2026
/home/sm3934/miniconda3/envs/ipm_rcrl_env/bin/python
run= 1 seed= 1 env= CartPolePerturbedEnv
env=CartPolePerturbedEnv
state_dim=4
action_dim=1
max_action=10.0
max_episode_steps=1000
No env selected
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:32.0 	 evaluate_cost:3.6481188041446906 	 evaluate_max_cost:1.1946760078028644
ch, vs_mean, vl_pi, beta penalty= 1 91.84732055664062 28.969253540039062 715.9813385009766
ch, vs_mean, vl_pi, beta penalty= 1 91.83372497558594 27.546865463256836 680.4216365814209
ch, vs_mean, vl_pi, beta penalty= 1 91.944580078125 33.165401458740234 820.8850364685059
ch, vs_mean, vl_pi, beta penalty= 1 91.88270568847656 35.002708435058594 866.8177108764648
ch, vs_mean, vl_pi, beta penalty= 1 91.49398803710938 42.02718734741211 1042.4296836853027
ch, vs_mean, vl_pi, beta penalty= 1 91.67329406738281 28.333860397338867 700.0965099334717
ch, vs_mean, vl_pi, beta penalty= 1 91.56767272949219 31.234132766723633 772.6033191680908
ch, vs_mean, vl_pi, beta penalty= 1 91.63501739501953 31.340391159057617 775.2597789764404
evaluate_num:11 	 evaluate_reward:211.0 	 evaluate_cost:0.0 	 evaluate_max_cost:0.0
ch, vs_mean, vl_pi, beta penalty= 1 91.44769287109375 29.00906753540039 716.9766883850098
ch, vs_mean, vl_pi, beta penalty= 1 91.3515396118164 31.464736938476562 778.3684234619141
ch, vs_mean, vl_pi, beta penalty= 1 90.94999694824219 30.11557388305664 744.639347076416
ch, vs_mean, vl_pi, beta penalty= 1 91.08592224121094 40.095577239990234 994.1394309997559
ch, vs_mean, vl_pi, beta penalty= 1 91.02238464355469 37.25050735473633 923.0126838684082
ch, vs_mean, vl_pi, beta penalty= 1 90.92111206054688 34.97859191894531 866.2147979736328
ch, vs_mean, vl_pi, beta penalty= 1 91.3151626586914 54.04865264892578 1342.9663162231445
ch, vs_mean, vl_pi, beta penalty= 1 91.26704406738281 36.6925048828125 909.0626220703125
ch, vs_mean, vl_pi, beta penalty= 1 90.84724426269531 40.38235855102539 1001.3089637756348
evaluate_num:12 	 evaluate_reward:175.0 	 evaluate_cost:0.0 	 evaluate_max_cost:0.0
ch, vs_mean, vl_pi, beta penalty= 1 90.53475952148438 52.190345764160156 1296.508644104004
ch, vs_mean, vl_pi, beta penalty= 1 90.87400817871094 45.299560546875 1124.239013671875
ch, vs_mean, vl_pi, beta penalty= 1 90.61540985107422 67.90978240966797 1689.4945602416992
ch, vs_mean, vl_pi, beta penalty= 1 90.89325714111328 38.180843353271484 946.2710838317871
ch, vs_mean, vl_pi, beta penalty= 1 90.60330200195312 82.29325103759766 2049.0812759399414
ch, vs_mean, vl_pi, beta penalty= 1 90.77043151855469 52.533790588378906 1305.0947647094727
ch, vs_mean, vl_pi, beta penalty= 1 90.26703643798828 53.29206848144531 1324.0517120361328
ch, vs_mean, vl_pi, beta penalty= 1 90.42125701904297 56.07258605957031 1393.5646514892578
evaluate_num:13 	 evaluate_reward:157.0 	 evaluate_cost:0.0 	 evaluate_max_cost:0.0
ch, vs_mean, vl_pi, beta penalty= 1 89.93614959716797 83.93317413330078 2090.0793533325195
ch, vs_mean, vl_pi, beta penalty= 1 89.84523010253906 48.48184585571289 1203.7961463928223
ch, vs_mean, vl_pi, beta penalty= 1 89.97025299072266 43.854957580566406 1088.1239395141602
ch, vs_mean, vl_pi, beta penalty= 1 90.11526489257812 43.03157043457031 1067.5392608642578
ch, vs_mean, vl_pi, beta penalty= 1 89.71601867675781 45.081783294677734 1118.7945823669434
ch, vs_mean, vl_pi, beta penalty= 1 89.4378662109375 46.266117095947266 1148.4029273986816
ch, vs_mean, vl_pi, beta penalty= 1 89.60604858398438 38.233558654785156 947.5889663696289
ch, vs_mean, vl_pi, beta penalty= 1 89.24958038330078 45.788448333740234 1136.4612083435059
evaluate_num:14 	 evaluate_reward:162.0 	 evaluate_cost:0.0 	 evaluate_max_cost:0.0
ch, vs_mean, vl_pi, beta penalty= 1 89.22996520996094 43.072879791259766 1068.5719947814941
ch, vs_mean, vl_pi, beta penalty= 1 88.90463256835938 47.27445983886719 1173.6114959716797
ch, vs_mean, vl_pi, beta penalty= 1 89.36467742919922 46.582523345947266 1156.3130836486816
ch, vs_mean, vl_pi, beta penalty= 1 89.15095520019531 52.02886199951172 1292.471549987793
ch, vs_mean, vl_pi, beta penalty= 1 88.78225708007812 44.537498474121094 1105.1874618530273
ch, vs_mean, vl_pi, beta penalty= 1 88.64967346191406 51.19011688232422 1271.5029220581055
ch, vs_mean, vl_pi, beta penalty= 1 88.53461456298828 54.335113525390625 1350.1278381347656
evaluate_num:15 	 evaluate_reward:147.66666666666666 	 evaluate_cost:0.0 	 evaluate_max_cost:0.0
ch, vs_mean, vl_pi, beta penalty= 1 88.6677017211914 51.57722473144531 1281.1806182861328
ch, vs_mean, vl_pi, beta penalty= 1 89.2533950805664 51.24311828613281 1272.8279571533203
ch, vs_mean, vl_pi, beta penalty= 1 88.10919189453125 69.28451538085938 1723.8628845214844
ch, vs_mean, vl_pi, beta penalty= 1 88.2170181274414 66.70716094970703 1659.4290237426758
ch, vs_mean, vl_pi, beta penalty= 1 88.2146987915039 61.191654205322266 1521.5413551330566
ch, vs_mean, vl_pi, beta penalty= 1 88.01270294189453 66.47441101074219 1653.6102752685547
ch, vs_mean, vl_pi, beta penalty= 1 88.26080322265625 56.07390594482422 1393.5976486206055
