n0050
Thu Aug 27 11:09:20 AM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 3 seed= 6 env= HalfCheetahForwardObstacleCMDP k_epochs 5
env=HalfCheetahForwardObstacleCMDP
state_dim=18
action_dim=6
max_action=1.0
max_episode_steps=1000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:1.883397093632172 	 evaluate_cost:34.657359027996606 	 evaluate_max_cost:0.03465735902799726
New best model found! Saving model with reward: 1.883397093632172 and max cost: 0.03465735902799726
ch, vs_mean, vl_pi, beta penalty= 0 84.1507568359375 tensor(2.6450) tensor(73349.3047)
ch, vs_mean, vl_pi, beta penalty= 0 83.29166412353516 tensor(2.6384) tensor(73152.8594)
ch, vs_mean, vl_pi, beta penalty= 0 83.57412719726562 tensor(2.6389) tensor(73168.0312)
ch, vs_mean, vl_pi, beta penalty= 0 83.75250244140625 tensor(2.6635) tensor(73903.8750)
ch, vs_mean, vl_pi, beta penalty= 0 82.57032012939453 tensor(5.1053) tensor(147159.6562)
ch, vs_mean, vl_pi, beta penalty= 0 82.74263000488281 tensor(4.9500) tensor(142501.3750)
ch, vs_mean, vl_pi, beta penalty= 0 82.8584213256836 tensor(4.8835) tensor(140505.9375)
ch, vs_mean, vl_pi, beta penalty= 0 82.61283874511719 tensor(4.7475) tensor(136425.8438)
ch, vs_mean, vl_pi, beta penalty= 0 82.3791732788086 tensor(4.7615) tensor(136844.3438)
ch, vs_mean, vl_pi, beta penalty= 0 79.92536926269531 tensor(2.5942) tensor(71826.2109)
ch, vs_mean, vl_pi, beta penalty= 0 80.38496398925781 tensor(2.5053) tensor(69159.9844)
ch, vs_mean, vl_pi, beta penalty= 0 80.47831726074219 tensor(2.4585) tensor(67756.2656)
ch, vs_mean, vl_pi, beta penalty= 0 80.5165023803711 tensor(2.4473) tensor(67418.4609)
ch, vs_mean, vl_pi, beta penalty= 0 79.86245727539062 tensor(2.4688) tensor(68062.6953)
evaluate_num:2 	 evaluate_reward:1000.7265530793617 	 evaluate_cost:266.59980487913884 	 evaluate_max_cost:1.996395803932317
