n0006
Sat Sep 19 04:45:51 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 501 seed= 1 env= SwimmerWithPos k_epochs 5
env=SwimmerWithPos
state_dim=10
action_dim=2
max_action=1.0
max_episode_steps=1000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:9.715869188129492 	 evaluate_cost:0.0 	 evaluate_max_cost:0.0
New best model found! Saving model with reward: 9.715869188129492 and max cost: 0.0
FAC | warm_start_active=False, vs_mean=185.1164, vl_pi= 0.655041 beta_penalty= 16651.229 lambda_mean= [0.69416547] VC_mean= [0.5588031] d= [0.1]
FAC | warm_start_active=False, vs_mean=183.9752, vl_pi= 0.647923 beta_penalty= 16437.69 lambda_mean= [0.69416547] VC_mean= [0.5560862] d= [0.1]
FAC | warm_start_active=False, vs_mean=184.6939, vl_pi= 0.6391759 beta_penalty= 16175.276 lambda_mean= [0.69416547] VC_mean= [0.55089986] d= [0.1]
FAC | warm_start_active=False, vs_mean=192.3970, vl_pi= 0.7521982 beta_penalty= 19565.945 lambda_mean= [0.6942268] VC_mean= [0.5640693] d= [0.1]
FAC | warm_start_active=False, vs_mean=186.2306, vl_pi= 0.76013106 beta_penalty= 19803.932 lambda_mean= [0.6942268] VC_mean= [0.5629369] d= [0.1]
FAC | warm_start_active=False, vs_mean=185.1578, vl_pi= 0.7675586 beta_penalty= 20026.756 lambda_mean= [0.6942268] VC_mean= [0.5652206] d= [0.1]
FAC | warm_start_active=False, vs_mean=181.3676, vl_pi= 0.7620815 beta_penalty= 19862.445 lambda_mean= [0.6942268] VC_mean= [0.56756324] d= [0.1]
FAC | warm_start_active=False, vs_mean=177.8097, vl_pi= 0.7576605 beta_penalty= 19729.814 lambda_mean= [0.6942268] VC_mean= [0.56124717] d= [0.1]
FAC | warm_start_active=False, vs_mean=171.9932, vl_pi= 0.78792334 beta_penalty= 20637.7 lambda_mean= [0.69418234] VC_mean= [0.5806855] d= [0.1]
FAC | warm_start_active=False, vs_mean=167.0303, vl_pi= 0.78002757 beta_penalty= 20400.826 lambda_mean= [0.69418234] VC_mean= [0.57512015] d= [0.1]
