n0006
Sat Sep 19 04:38:20 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 502 seed= 1 env= HopperCostEnv k_epochs 5
env=HopperCostEnv
state_dim=11
action_dim=3
max_action=1.0
max_episode_steps=500
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:402.39193093042604 	 evaluate_cost:0.0 	 evaluate_max_cost:0.0
New best model found! Saving model with reward: 402.39193093042604 and max cost: 0.0
FAC | warm_start_active=False, vs_mean=221.6569, vl_pi= 0.62571424 beta_penalty= 15771.427 lambda_mean= [0.69253296] VC_mean= [0.52796054] d= [0.1]
FAC | warm_start_active=False, vs_mean=220.5478, vl_pi= 0.62175256 beta_penalty= 15652.576 lambda_mean= [0.69253296] VC_mean= [0.52611274] d= [0.1]
FAC | warm_start_active=False, vs_mean=223.3917, vl_pi= 0.618987 beta_penalty= 15569.61 lambda_mean= [0.6924724] VC_mean= [0.52688146] d= [0.1]
FAC | warm_start_active=False, vs_mean=220.0098, vl_pi= 0.61315423 beta_penalty= 15394.626 lambda_mean= [0.6924724] VC_mean= [0.52590066] d= [0.1]
FAC | warm_start_active=False, vs_mean=207.4351, vl_pi= 0.61966753 beta_penalty= 15590.025 lambda_mean= [0.6924724] VC_mean= [0.5318803] d= [0.1]
FAC | warm_start_active=False, vs_mean=206.4208, vl_pi= 0.6298092 beta_penalty= 15894.275 lambda_mean= [0.6924724] VC_mean= [0.528722] d= [0.1]
FAC | warm_start_active=False, vs_mean=201.3384, vl_pi= 0.6400392 beta_penalty= 16201.176 lambda_mean= [0.6924724] VC_mean= [0.5287514] d= [0.1]
FAC | warm_start_active=False, vs_mean=196.3445, vl_pi= 0.6039778 beta_penalty= 15119.333 lambda_mean= [0.69249237] VC_mean= [0.52838767] d= [0.1]
FAC | warm_start_active=False, vs_mean=189.1190, vl_pi= 0.6071974 beta_penalty= 15215.922 lambda_mean= [0.69249237] VC_mean= [0.5287968] d= [0.1]
FAC | warm_start_active=False, vs_mean=186.8791, vl_pi= 0.60896075 beta_penalty= 15268.821 lambda_mean= [0.69249237] VC_mean= [0.52330077] d= [0.1]
FAC | warm_start_active=False, vs_mean=188.3413, vl_pi= 0.60628736 beta_penalty= 15188.62 lambda_mean= [0.69249237] VC_mean= [0.5260401] d= [0.1]
FAC | warm_start_active=False, vs_mean=183.2242, vl_pi= 0.6021677 beta_penalty= 15065.031 lambda_mean= [0.69249237] VC_mean= [0.5296551] d= [0.1]
FAC | warm_start_active=False, vs_mean=180.7114, vl_pi= 0.8205454 beta_penalty= 21616.361 lambda_mean= [0.69240505] VC_mean= [0.53285205] d= [0.1]
FAC | warm_start_active=False, vs_mean=184.0401, vl_pi= 0.80955666 beta_penalty= 21286.7 lambda_mean= [0.69240505] VC_mean= [0.5377015] d= [0.1]
FAC | warm_start_active=False, vs_mean=183.8092, vl_pi= 0.78457195 beta_penalty= 20537.158 lambda_mean= [0.69240505] VC_mean= [0.54422617] d= [0.1]
FAC | warm_start_active=False, vs_mean=188.4521, vl_pi= 0.74647605 beta_penalty= 19394.281 lambda_mean= [0.69240505] VC_mean= [0.5411498] d= [0.1]
FAC | warm_start_active=False, vs_mean=188.9046, vl_pi= 0.7296954 beta_penalty= 18890.861 lambda_mean= [0.69240505] VC_mean= [0.5305383] d= [0.1]
FAC | warm_start_active=False, vs_mean=210.5406, vl_pi= 0.5661504 beta_penalty= 13984.513 lambda_mean= [0.69245595] VC_mean= [0.51491064] d= [0.1]
FAC | warm_start_active=False, vs_mean=215.6258, vl_pi= 0.56398094 beta_penalty= 13919.429 lambda_mean= [0.69245595] VC_mean= [0.51265246] d= [0.1]
