Step,Penalty,Beta x Penalty,Reward Return/Lambda,Optimized
29398,0.000,0.000,25.205,Reward
29490,0.000,0.000,34.422,Reward
29608,0.000,0.000,41.729,Reward
29691,0.000,0.000,31.835,Reward
29758,0.000,0.000,26.864,Reward
29831,0.000,0.000,29.499,Reward
29880,0.000,0.000,20.636,Reward
29957,0.000,0.000,30.729,Reward
30117,0.000,0.000,50.517,Reward
30284,0.000,0.000,51.785,Reward
30327,0.000,0.000,18.396,Reward
30411,0.000,0.000,32.130,Reward
30533,0.000,0.000,42.663,Reward
30688,0.000,0.000,49.071,Reward
30834,0.000,0.000,47.297,Reward
30966,0.000,0.000,44.346,Reward
31070,0.000,0.000,37.655,Reward
31163,0.000,0.000,35.353,Reward
31269,0.000,0.000,38.171,Reward
31337,0.000,0.000,27.189,Reward
31487,0.000,0.000,48.097,Reward
31574,0.000,0.000,33.002,Reward
31713,0.000,0.000,45.852,Reward
31765,0.000,0.000,21.724,Reward
31899,0.000,0.000,44.782,Reward
31968,0.000,0.000,27.513,Reward
32106,0.000,0.000,45.640,Reward
32166,0.000,0.000,25.281,Reward
32246,0.000,0.000,31.631,Reward
32342,0.000,0.000,35.526,Reward
32416,0.000,0.000,29.809,Reward
32549,0.000,0.000,44.565,Reward
32705,0.000,0.000,49.770,Reward
32852,0.000,0.000,47.499,Reward
32879,0.000,0.000,11.979,Reward
